类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
2-极致缩量潜伏,002600,领益智造,12.38,0.75,13.2/23.1,底位/绿柱缩短,19.8%,-1.3%
2-极致缩量潜伏,600707,彩虹股份,5.48,0.81,22.2/15.7,底位/绿柱缩短,18.7%,-1.3%
3-准入选观察池,000061,农 产 品,7.09,0.73,5.2/4.7,底位/绿柱缩短,28.9%,-4.3%
3-准入选观察池,002277,友阿股份,5.61,0.57,22.7/19.6,底位/绿柱缩短,27.0%,-2.9%
3-准入选观察池,603697,有友食品,9.85,0.43,21.1/30.8,底位/绿柱缩短,22.7%,-2.5%
3-准入选观察池,002123,梦网科技,9.56,0.91,20.3/32.8,底位/绿柱缩短,22.6%,-1.5%
3-准入选观察池,000417,合百集团,6.38,0.95,13.7/27.1,底位/绿柱缩短,21.7%,-2.4%
3-准入选观察池,603758,秦安股份,12.11,0.72,16.3/30.9,底位/绿柱缩短,21.7%,-1.8%
3-准入选观察池,002117,东港股份,9.43,0.83,24.1/25.8,底位/绿柱缩短,21.3%,-3.8%
3-准入选观察池,002765,蓝黛科技,9.63,0.95,23.2/23.4,底位/绿柱缩短,20.9%,-2.5%
3-准入选观察池,002052,同洲电子,9.93,0.73,8.0/23.2,底位/绿柱缩短,20.9%,-1.6%
3-准入选观察池,000837,秦川机床,10.11,0.78,19.7/19.3,底位/绿柱缩短,20.4%,-2.9%
3-准入选观察池,000524,岭南控股,10.4,0.76,24.0/23.3,底位/绿柱缩短,19.9%,-4.5%
3-准入选观察池,002096,易普力,11.34,0.53,14.6/18.4,底位/绿柱缩短,19.4%,-1.6%
3-准入选观察池,603677,奇精机械,14.77,0.74,18.0/28.7,底位/绿柱缩短,18.1%,-3.6%
3-准入选观察池,600143,金发科技,15.85,0.74,11.9/34.5,底位/绿柱缩短,17.7%,-2.5%
3-准入选观察池,002249,大洋电机,8.86,0.92,24.4/21.6,底位/绿柱缩短,17.6%,-1.6%
3-准入选观察池,002085,万丰奥威,13.41,0.9,18.7/19.3,底位/绿柱缩短,17.5%,-2.8%
3-准入选观察池,600058,五矿发展,10.75,0.82,18.9/29.5,底位/绿柱缩短,16.2%,-1.8%
3-准入选观察池,000058,深 赛 格,7.7,0.8,19.4/30.5,底位/绿柱缩短,16.1%,-3.1%
3-准入选观察池,603898,好莱客,13.01,0.6,16.1/34.3,底位/绿柱缩短,14.9%,-4.1%
3-准入选观察池,603823,百合花,14.84,0.81,2.9/24.8,底位/绿柱缩短,14.5%,-2.3%
3-准入选观察池,600156,华升股份,7.18,0.95,3.2/32.8,底位/绿柱缩短,13.3%,-1.2%
3-准入选观察池,603277,银都股份,14.0,0.87,22.5/24.1,底位/绿柱缩短,13.2%,-1.5%
3-准入选观察池,603187,海容冷链,14.0,0.52,24.0/26.3,底位/绿柱缩短,13.2%,-2.5%
3-准入选观察池,600212,绿能慧充,6.91,0.82,10.6/33.3,底位/绿柱缩短,12.0%,-2.8%
3-准入选观察池,002139,拓邦股份,11.79,0.87,22.5/18.7,底位/绿柱缩短,11.7%,-2.4%
3-准入选观察池,603871,嘉友国际,12.96,0.8,15.7/26.0,底位/绿柱缩短,10.6%,-3.1%
3-准入选观察池,600189,泉阳泉,7.23,0.97,4.3/24.9,底位/绿柱缩短,10.4%,-3.1%
