类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600422,昆药集团,11.4,0.98,21.7/20.9,底位/绿柱缩短,8.3%,1.4%
0-点火启动(即买即涨),603668,天马科技,11.17,1.04,16.1/21.9,金叉/绿柱缩短,33.5%,4.5%
0-点火启动(即买即涨),603901,永创智能,11.42,0.65,24.2/23.8,底位/绿柱缩短,23.1%,0.7%
0-点火启动(即买即涨),600728,佳都科技,5.62,0.73,22.7/23.8,底位/绿柱缩短,17.5%,0.5%
1-多指标共振金叉,600588,用友网络,11.79,0.66,24.1/21.2,金叉/绿柱缩短,19.7%,1.4%
1-多指标共振金叉,002268,电科网安,16.85,0.67,24.0/19.4,金叉/绿柱缩短,17.0%,1.5%
1-多指标共振金叉,601696,中银证券,12.29,0.6,24.8/34.7,金叉/绿柱缩短,13.8%,1.0%
2-极致缩量潜伏,002698,博实股份,13.29,0.71,8.3/22.3,底位/绿柱缩短,20.6%,-0.5%
2-极致缩量潜伏,600909,华安证券,5.62,0.67,24.7/25.9,底位/绿柱缩短,18.1%,0.4%
2-极致缩量潜伏,603997,继峰股份,11.94,0.66,16.2/30.9,底位/绿柱缩短,16.8%,0.1%
2-极致缩量潜伏,600707,彩虹股份,5.69,0.74,21.9/25.4,底位/绿柱缩短,15.5%,0.2%
2-极致缩量潜伏,601636,旗滨集团,5.79,0.61,21.3/21.6,底位/绿柱缩短,15.2%,1.0%
3-准入选观察池,002892,科力尔,10.95,0.59,24.0/34.0,底位/绿柱缩短,14.6%,0.5%
3-准入选观察池,002085,万丰奥威,14.03,0.66,18.4/16.1,底位/绿柱缩短,13.4%,0.1%
3-准入选观察池,601108,财通证券,7.67,0.56,24.5/29.6,底位/绿柱缩短,12.7%,0.9%
3-准入选观察池,601238,广汽集团,7.25,0.68,20.3/25.2,底位/绿柱缩短,10.1%,0.1%
