类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
1-多指标共振金叉,601155,新城控股,10.73,1.64,8.3/22.2,金叉/绿柱缩短,25.9%,-0.2%
1-多指标共振金叉,002052,同洲电子,8.27,1.15,25.0/30.7,金叉/绿柱缩短,23.1%,0.8%
1-多指标共振金叉,000729,燕京啤酒,10.27,0.76,4.2/26.3,金叉/绿柱缩短,21.6%,-0.3%
1-多指标共振金叉,600236,桂冠电力,9.1,0.78,20.8/14.4,金叉/绿柱缩短,13.2%,-2.0%
2-极致缩量潜伏,600983,惠而浦,7.18,0.46,12.0/24.7,底位/绿柱缩短,30.4%,-1.4%
2-极致缩量潜伏,001300,三柏硕,12.9,0.57,3.4/22.5,底位/绿柱缩短,28.0%,-0.2%
2-极致缩量潜伏,601226,华电科工,6.74,0.75,17.5/24.4,底位/红柱,25.4%,-1.0%
2-极致缩量潜伏,601600,中国铝业,9.09,0.65,18.9/23.6,底位/绿柱缩短,24.9%,0.0%
2-极致缩量潜伏,601898,中煤能源,13.3,0.75,11.9/17.8,底位/绿柱缩短,24.7%,-1.2%
2-极致缩量潜伏,600873,梅花生物,7.96,0.84,0.0/21.2,底位/绿柱缩短,24.1%,-1.1%
2-极致缩量潜伏,603707,健友股份,7.12,0.69,18.2/23.4,底位/绿柱缩短,22.9%,-0.8%
2-极致缩量潜伏,000875,吉电股份,5.3,0.64,7.1/13.3,底位/绿柱缩短,22.7%,-0.9%
2-极致缩量潜伏,600970,中材国际,7.78,0.56,9.7/26.2,底位/绿柱缩短,21.0%,-0.9%
2-极致缩量潜伏,603808,歌力思,8.26,0.82,4.3/16.4,底位/绿柱缩短,19.3%,-1.4%
2-极致缩量潜伏,603035,常熟汽饰,10.9,0.73,12.1/17.6,底位/绿柱缩短,18.9%,-1.2%
2-极致缩量潜伏,600916,中国黄金,7.29,0.84,11.4/33.3,底位/红柱,17.1%,-1.1%
2-极致缩量潜伏,603639,海利尔,10.41,0.74,17.8/24.8,底位/红柱,16.7%,-0.9%
2-极致缩量潜伏,000719,中原传媒,11.55,0.71,0.0/7.3,底位/绿柱缩短,15.4%,0.0%
3-准入选观察池,600508,上海能源,7.87,0.9,3.9/11.1,底位/绿柱缩短,65.1%,-4.8%
3-准入选观察池,002454,松芝股份,5.13,0.88,13.0/28.6,底位/红柱,60.4%,-2.8%
3-准入选观察池,603836,海程邦达,8.1,0.97,5.9/10.5,底位/绿柱缩短,58.4%,-3.2%
3-准入选观察池,600629,华建集团,13.18,0.55,19.5/28.4,底位/绿柱缩短,45.1%,-18.6%
3-准入选观察池,603103,横店影视,14.89,0.78,0.0/23.5,底位/绿柱缩短,41.7%,-3.1%
3-准入选观察池,603105,芯能科技,7.18,0.83,14.0/13.4,底位/绿柱缩短,36.2%,-3.6%
3-准入选观察池,605056,咸亨国际,17.43,0.86,11.5/23.2,底位/金叉,35.3%,0.0%
3-准入选观察池,002116,中国海诚,7.12,0.68,8.7/19.6,底位/绿柱缩短,33.9%,-1.9%
3-准入选观察池,002941,新疆交建,10.22,0.77,4.6/21.9,底位/红柱,33.2%,-2.3%
3-准入选观察池,603729,龙韵股份,11.05,0.81,17.6/23.8,底位/绿柱缩短,32.8%,-5.0%
3-准入选观察池,605599,菜百股份,14.23,0.91,0.0/29.3,底位/红柱,32.3%,-1.5%
3-准入选观察池,600299,安迪苏,9.27,0.82,4.3/9.6,底位/绿柱缩短,32.2%,-1.7%
3-准入选观察池,603585,苏利股份,14.37,0.71,14.5/27.2,底位/红柱,32.1%,-1.8%
3-准入选观察池,601965,中国汽研,12.24,0.81,0.0/5.4,底位/绿柱缩短,31.2%,-1.9%
3-准入选观察池,001338,永顺泰,9.13,0.97,5.1/19.2,底位/绿柱缩短,31.1%,-1.9%
3-准入选观察池,000403,派林生物,9.31,0.99,1.2/7.9,底位/绿柱缩短,30.1%,-4.6%
3-准入选观察池,603586,金麒麟,13.38,0.59,0.0/24.2,底位/绿柱缩短,29.9%,-4.6%
3-准入选观察池,600126,杭钢股份,6.54,0.87,23.7/27.1,底位/红柱,29.3%,-2.0%
3-准入选观察池,605169,洪通燃气,9.26,1.07,16.7/10.3,底位/绿柱缩短,29.1%,-6.4%
3-准入选观察池,603101,汇嘉时代,6.46,1.08,15.2/21.4,底位/红柱,28.4%,-4.2%
3-准入选观察池,002284,亚太股份,9.91,0.93,0.0/19.9,底位/绿柱缩短,28.1%,-1.5%
3-准入选观察池,600733,北汽蓝谷,5.22,0.9,10.6/25.6,底位/绿柱缩短,27.9%,-3.0%
3-准入选观察池,002705,新宝股份,11.12,0.8,15.0/16.3,底位/绿柱缩短,27.7%,-1.6%
3-准入选观察池,603348,文灿股份,14.06,1.08,21.0/25.5,底位/红柱,27.6%,-4.6%
3-准入选观察池,600104,上汽集团,10.08,0.79,5.1/4.1,底位/绿柱缩短,27.6%,-2.2%
3-准入选观察池,002905,金逸影视,7.02,1.0,20.5/25.4,底位/红柱,27.3%,-4.6%
3-准入选观察池,002677,浙江美大,5.89,1.02,5.6/14.8,底位/绿柱缩短,27.1%,-4.1%
3-准入选观察池,000683,博源化工,6.27,0.98,20.7/31.9,底位/绿柱缩短,26.6%,-0.5%
3-准入选观察池,603098,森特股份,10.82,1.09,6.6/23.8,底位/绿柱缩短,26.6%,-4.3%
3-准入选观察池,603258,电魂网络,12.39,0.79,23.9/27.6,底位/红柱,26.5%,-2.9%
3-准入选观察池,603366,日出东方,6.44,1.06,10.3/22.0,底位/绿柱缩短,26.4%,-4.2%
3-准入选观察池,002383,合众思壮,6.93,0.98,7.3/26.4,底位/红柱,26.3%,-2.1%
3-准入选观察池,603551,奥普科技,9.02,1.04,0.0/4.6,底位/绿柱缩短,26.2%,-2.2%
3-准入选观察池,002949,华阳国际,10.47,0.78,19.2/17.4,底位/绿柱缩短,26.1%,-4.0%
3-准入选观察池,002103,广博股份,6.01,1.0,12.0/16.7,底位/绿柱缩短,26.1%,-3.7%
3-准入选观察池,600326,西藏天路,6.82,0.92,15.3/17.1,底位/红柱,26.0%,-2.6%
3-准入选观察池,000705,浙江震元,6.22,1.09,20.9/28.3,底位/红柱,25.8%,-4.2%
3-准入选观察池,600415,小商品城,10.05,0.97,21.6/22.3,底位/绿柱缩短,25.8%,-5.0%
3-准入选观察池,002790,瑞尔特,5.6,1.08,20.0/23.7,底位/红柱,25.8%,-4.4%
3-准入选观察池,600720,中交设计,5.08,0.68,0.0/10.8,底位/绿柱缩短,25.5%,-2.5%
3-准入选观察池,603238,诺邦股份,11.66,0.8,18.8/27.5,底位/红柱,24.9%,-4.2%
3-准入选观察池,601858,中国科传,18.97,0.87,1.2/18.5,底位/绿柱缩短,24.9%,-2.6%
3-准入选观察池,000798,中水渔业,7.28,1.04,16.4/17.5,底位/绿柱缩短,24.8%,-3.7%
3-准入选观察池,600686,金龙汽车,12.09,0.7,0.6/33.0,底位/红柱,24.7%,-1.6%
3-准入选观察池,603086,先达股份,5.52,0.99,20.3/27.4,底位/红柱,24.5%,-2.8%
3-准入选观察池,002836,新宏泽,9.86,1.07,18.9/24.9,底位/绿柱缩短,24.4%,-4.4%
3-准入选观察池,603089,正裕工业,9.09,0.79,19.8/20.3,底位/绿柱缩短,24.2%,-2.9%
3-准入选观察池,600661,昂立教育,7.37,1.03,21.2/25.9,底位/绿柱缩短,24.1%,-4.2%
3-准入选观察池,601238,广汽集团,5.32,1.04,0.0/15.5,底位/绿柱缩短,24.1%,-1.8%
3-准入选观察池,002649,博彦科技,8.49,1.05,24.4/30.7,底位/红柱,24.1%,-4.2%
3-准入选观察池,002765,蓝黛科技,7.48,0.73,13.7/33.8,底位/红柱,24.0%,-2.6%
3-准入选观察池,600055,万东医疗,10.91,0.97,14.2/23.2,底位/绿柱缩短,24.0%,-3.0%
3-准入选观察池,000096,广聚能源,7.28,1.04,12.8/21.0,底位/绿柱缩短,23.9%,-3.8%
3-准入选观察池,600841,动力新科,6.56,0.9,24.7/26.6,底位/红柱,23.8%,-3.4%
3-准入选观察池,000905,厦门港务,8.31,0.81,0.0/29.2,底位/红柱,23.8%,-1.8%
