类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),002676,顺威股份,7.45,0.87,24.2/32.5,金叉/绿柱缩短,9.8%,2.2%
0-点火启动(即买即涨),002098,浔兴股份,9.61,0.85,20.5/26.6,金叉/绿柱缩短,6.5%,1.4%
0-点火启动(即买即涨),002695,煌上煌,10.53,0.79,21.8/29.3,金叉/绿柱缩短,11.5%,1.7%
1-多指标共振金叉,600197,伊力特,12.89,0.63,18.1/21.8,金叉/绿柱缩短,7.3%,0.9%
1-多指标共振金叉,002907,华森制药,14.12,0.79,16.9/24.1,金叉/绿柱缩短,6.9%,0.9%
1-多指标共振金叉,603079,圣达生物,17.6,0.59,19.3/24.8,金叉/绿柱缩短,6.2%,2.2%
1-多指标共振金叉,600897,厦门空港,16.67,0.69,23.2/25.3,金叉/绿柱缩短,5.8%,2.1%
1-多指标共振金叉,603898,好莱客,13.99,0.54,21.9/29.3,金叉/绿柱缩短,4.8%,1.2%
1-多指标共振金叉,603219,富佳股份,16.9,0.51,18.2/27.0,金叉/绿柱缩短,2.4%,1.0%
1-多指标共振金叉,603885,吉祥航空,12.88,0.62,16.4/14.3,金叉/绿柱缩短,11.8%,2.1%
1-多指标共振金叉,605108,同庆楼,17.96,0.82,19.9/21.3,金叉/绿柱缩短,10.2%,1.1%
2-极致缩量潜伏,603758,秦安股份,14.01,0.74,14.9/27.6,底位/绿柱缩短,18.0%,0.9%
2-极致缩量潜伏,603429,集友股份,8.99,0.58,12.7/23.8,底位/绿柱缩短,15.6%,-1.3%
3-准入选观察池,603528,多伦科技,8.95,0.55,21.0/34.0,底位/绿柱缩短,12.1%,0.7%
3-准入选观察池,603101,汇嘉时代,8.81,0.61,24.2/26.2,底位/绿柱缩短,11.9%,1.3%
3-准入选观察池,603535,嘉诚国际,9.29,0.61,21.0/27.8,底位/绿柱缩短,11.3%,0.6%
3-准入选观察池,603809,豪能股份,11.97,0.56,12.8/27.9,底位/绿柱缩短,10.7%,0.3%
3-准入选观察池,002651,利君股份,10.36,0.39,18.3/33.7,底位/绿柱缩短,10.3%,0.4%
