类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
3-准入选观察池,600595,中孚实业,6.87,0.93,5.7/29.7,底位/绿柱缩短,25.5%,-2.4%
3-准入选观察池,600682,南京新百,6.15,1.05,12.4/28.0,底位/绿柱缩短,25.4%,-6.5%
3-准入选观察池,601608,中信重工,5.92,1.03,0.0/16.7,底位/绿柱缩短,20.6%,-4.8%
3-准入选观察池,002204,大连重工,6.24,0.78,0.0/28.4,底位/绿柱缩短,18.4%,-5.0%
3-准入选观察池,002098,浔兴股份,8.51,1.08,19.1/29.3,底位/绿柱缩短,18.2%,-5.6%
3-准入选观察池,601233,桐昆股份,16.96,0.97,1.2/19.6,底位/绿柱缩短,17.5%,0.2%
3-准入选观察池,603997,继峰股份,11.97,1.08,16.7/24.6,底位/绿柱缩短,17.4%,-2.7%
3-准入选观察池,601696,中银证券,12.13,1.06,0.0/31.8,底位/绿柱缩短,16.4%,-4.6%
3-准入选观察池,600707,彩虹股份,5.68,1.07,0.0/26.3,底位/绿柱缩短,16.3%,-4.9%
3-准入选观察池,000830,鲁西化工,15.41,1.05,2.4/28.6,底位/绿柱缩短,16.2%,0.7%
3-准入选观察池,002493,荣盛石化,11.29,0.98,0.0/18.1,底位/绿柱缩短,15.9%,-0.2%
3-准入选观察池,000301,东方盛虹,10.22,1.06,9.1/4.6,底位/绿柱缩短,15.1%,-4.0%
3-准入选观察池,600755,厦门国贸,5.97,1.08,11.3/14.6,底位/绿柱缩短,14.4%,-4.0%
3-准入选观察池,002302,西部建设,5.49,0.89,4.5/22.2,底位/绿柱缩短,13.5%,-5.7%
3-准入选观察池,002545,东方铁塔,21.52,0.95,3.0/17.6,底位/绿柱缩短,11.9%,-1.1%
3-准入选观察池,601068,中铝国际,5.31,0.93,0.0/26.6,底位/绿柱缩短,11.7%,-6.5%
3-准入选观察池,601022,宁波远洋,8.59,1.01,15.8/6.3,底位/绿柱缩短,11.2%,-5.1%
3-准入选观察池,600057,厦门象屿,7.55,0.96,0.8/29.9,底位/绿柱缩短,10.5%,-4.6%
3-准入选观察池,002043,兔 宝 宝,13.9,0.85,20.4/21.1,底位/绿柱缩短,10.2%,-6.0%
