类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600178,东安动力,10.57,0.75,24.2/30.5,底位/绿柱缩短,9.6%,1.5%
0-点火启动(即买即涨),600618,氯碱化工,12.29,1.34,23.0/27.1,底位/绿柱缩短,11.1%,-0.4%
1-多指标共振金叉,603708,家家悦,10.6,0.7,19.1/18.8,金叉/绿柱缩短,9.7%,0.5%
1-多指标共振金叉,600595,中孚实业,7.69,1.03,14.6/28.1,金叉/绿柱缩短,5.1%,-0.3%
2-极致缩量潜伏,600422,昆药集团,9.45,0.78,21.1/6.8,底位/绿柱缩短,22.0%,1.3%
2-极致缩量潜伏,002911,佛燃能源,11.92,0.74,5.4/16.7,底位/绿柱缩短,20.3%,-0.8%
2-极致缩量潜伏,002099,海翔药业,6.1,0.68,7.6/26.9,底位/绿柱缩短,18.7%,-0.5%
2-极致缩量潜伏,600057,厦门象屿,6.75,0.62,16.3/21.4,底位/绿柱缩短,17.5%,-1.5%
3-准入选观察池,600080,金花股份,6.54,0.81,8.2/16.2,底位/绿柱缩短,27.1%,-4.9%
3-准入选观察池,605599,菜百股份,18.66,1.07,17.5/25.3,底位/绿柱缩短,25.2%,-3.3%
3-准入选观察池,002258,利尔化学,12.38,0.93,0.0/14.4,底位/绿柱缩短,21.7%,-0.8%
3-准入选观察池,000524,岭南控股,9.59,0.85,18.4/27.4,底位/红柱,20.5%,-2.4%
3-准入选观察池,002769,普路通,9.07,0.6,13.2/22.7,底位/绿柱缩短,19.5%,-2.2%
3-准入选观察池,600873,梅花生物,9.38,0.86,0.0/23.2,底位/绿柱缩短,18.6%,-1.0%
3-准入选观察池,000655,金岭矿业,7.94,1.05,10.9/28.5,底位/红柱,17.2%,-2.3%
3-准入选观察池,600028,中国石化,5.15,1.09,0.0/17.0,底位/金叉,17.1%,-0.4%
3-准入选观察池,003012,东鹏控股,5.66,0.99,7.7/24.6,底位/绿柱缩短,16.8%,0.9%
3-准入选观察池,002724,海洋王,6.32,0.63,11.5/28.6,底位/绿柱缩短,14.8%,2.1%
3-准入选观察池,601808,中海油服,14.42,0.77,20.7/27.2,底位/绿柱缩短,13.7%,-0.1%
3-准入选观察池,601800,中国交建,6.89,0.73,5.0/4.5,底位/绿柱缩短,13.3%,-0.3%
3-准入选观察池,000888,峨眉山Ａ,11.49,0.65,21.6/26.1,底位/绿柱缩短,13.0%,0.2%
3-准入选观察池,603898,好莱客,12.57,0.8,17.5/23.7,底位/绿柱缩短,13.0%,-0.1%
3-准入选观察池,603218,日月股份,12.67,0.75,3.7/26.9,底位/绿柱缩短,11.8%,0.5%
3-准入选观察池,002483,润邦股份,6.46,0.89,17.5/30.7,底位/绿柱缩短,11.8%,0.2%
3-准入选观察池,603896,寿仙谷,17.39,0.61,9.7/20.8,底位/绿柱缩短,11.5%,0.6%
3-准入选观察池,002941,新疆交建,14.08,0.9,17.6/19.8,底位/绿柱缩短,11.4%,-0.3%
3-准入选观察池,601238,广汽集团,6.67,0.95,9.1/16.2,底位/绿柱缩短,11.4%,-2.2%
3-准入选观察池,600054,黄山旅游,11.33,1.02,22.2/21.5,底位/绿柱缩短,11.2%,-0.2%
3-准入选观察池,603566,普莱柯,11.69,0.57,2.2/11.3,底位/绿柱缩短,11.0%,0.2%
3-准入选观察池,002345,潮宏基,9.93,0.68,20.2/26.0,底位/绿柱缩短,10.7%,-2.0%
3-准入选观察池,600679,上海凤凰,10.76,1.02,23.5/33.1,底位/绿柱缩短,10.4%,-1.4%
3-准入选观察池,600583,海油工程,6.37,0.7,17.2/30.2,底位/绿柱缩短,10.3%,-0.2%
3-准入选观察池,000998,隆平高科,9.15,0.56,20.0/28.0,底位/绿柱缩短,10.3%,0.3%
3-准入选观察池,603070,万控智造,13.77,0.69,16.3/28.3,底位/绿柱缩短,10.3%,-0.2%
3-准入选观察池,600668,尖峰集团,9.93,0.95,22.5/31.4,底位/绿柱缩短,10.2%,-3.1%
