类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
2-极致缩量潜伏,603885,吉祥航空,11.98,0.69,23.2/14.7,底位/绿柱缩短,18.8%,0.4%
3-准入选观察池,603815,交建股份,6.43,1.07,23.3/26.4,底位/红柱,14.5%,-1.2%
3-准入选观察池,002434,万里扬,8.27,0.94,22.4/19.3,底位/绿柱缩短,14.3%,-2.0%
3-准入选观察池,600271,航天信息,9.24,0.88,8.8/22.5,底位/绿柱缩短,13.1%,-1.9%
3-准入选观察池,002414,高德红外,13.93,0.9,16.9/16.4,底位/绿柱缩短,12.5%,-2.4%
3-准入选观察池,603712,七一二,18.17,0.77,22.9/32.9,底位/绿柱缩短,12.0%,-2.2%
3-准入选观察池,600198,大唐电信,8.65,0.76,23.5/22.9,底位/绿柱缩短,12.0%,-2.3%
3-准入选观察池,603680,今创集团,13.52,0.56,18.4/33.6,底位/绿柱缩短,11.8%,-2.3%
3-准入选观察池,002097,山河智能,10.65,0.92,22.5/27.0,底位/绿柱缩短,11.4%,-1.0%
3-准入选观察池,600143,金发科技,17.11,0.9,24.5/24.6,底位/绿柱缩短,11.0%,-2.4%
