类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600742,富维股份,9.42,0.76,13.1/30.2,底位/绿柱缩短,7.3%,0.1%
0-点火启动(即买即涨),600587,新华医疗,13.75,1.02,20.8/25.4,金叉/绿柱缩短,7.0%,0.4%
0-点火启动(即买即涨),600528,中铁工业,7.79,1.2,23.1/31.8,底位/绿柱缩短,6.6%,0.0%
0-点火启动(即买即涨),601019,山东出版,7.46,1.46,17.2/5.5,底位/绿柱缩短,16.2%,0.4%
0-点火启动(即买即涨),601611,中国核建,13.34,1.17,24.4/33.8,底位/绿柱缩短,13.7%,1.8%
1-多指标共振金叉,600810,神马股份,7.64,1.23,16.2/20.3,金叉/绿柱缩短,9.5%,0.9%
1-多指标共振金叉,600987,航民股份,7.12,0.55,23.7/22.7,金叉/绿柱缩短,8.9%,-0.6%
1-多指标共振金叉,002031,巨轮智能,5.71,1.33,19.3/26.5,金叉/绿柱缩短,19.8%,1.2%
1-多指标共振金叉,002911,佛燃能源,12.22,0.75,10.3/19.4,金叉/绿柱缩短,18.2%,0.1%
2-极致缩量潜伏,002093,国脉科技,8.32,0.79,5.8/24.0,底位/绿柱缩短,24.3%,-1.1%
2-极致缩量潜伏,600422,昆药集团,9.5,0.64,0.6/10.1,底位/绿柱缩短,23.0%,0.0%
2-极致缩量潜伏,600219,南山铝业,5.37,0.74,11.8/27.5,底位/绿柱缩短,22.9%,-0.7%
2-极致缩量潜伏,603169,兰石重装,8.43,0.49,16.6/19.9,底位/绿柱缩短,22.7%,1.1%
2-极致缩量潜伏,603456,九洲药业,13.79,0.57,3.8/16.3,底位/绿柱缩短,22.6%,-1.2%
2-极致缩量潜伏,002121,科陆电子,6.95,0.61,18.3/25.2,底位/绿柱缩短,22.1%,-1.4%
2-极致缩量潜伏,600603,广汇物流,5.86,0.54,3.8/17.3,底位/绿柱缩短,19.0%,0.3%
2-极致缩量潜伏,002258,利尔化学,12.9,0.61,21.1/15.7,底位/绿柱缩短,18.7%,-0.5%
2-极致缩量潜伏,600983,惠而浦,9.4,0.48,17.8/15.8,底位/绿柱缩短,17.5%,-0.8%
2-极致缩量潜伏,002139,拓邦股份,10.71,0.83,7.2/19.8,底位/绿柱缩短,17.0%,-1.4%
2-极致缩量潜伏,000801,四川九洲,12.78,0.84,0.0/30.3,底位/绿柱缩短,16.8%,-1.2%
3-准入选观察池,600084,中信尼雅,5.35,0.69,8.1/17.3,底位/绿柱缩短,28.0%,-5.0%
3-准入选观察池,600273,嘉化能源,8.17,0.89,9.1/21.8,底位/绿柱缩短,23.7%,-2.3%
3-准入选观察池,605183,确成股份,16.97,0.59,9.5/25.3,底位/绿柱缩短,20.8%,-1.9%
3-准入选观察池,002434,万里扬,7.1,0.89,14.9/17.2,底位/绿柱缩短,20.6%,-1.4%
3-准入选观察池,002649,博彦科技,10.47,1.09,0.6/24.9,底位/绿柱缩短,19.1%,-1.1%
3-准入选观察池,600399,抚顺特钢,5.47,1.04,10.7/29.7,底位/绿柱缩短,16.3%,-2.2%
3-准入选观察池,603277,银都股份,13.03,0.87,1.7/23.7,底位/绿柱缩短,15.1%,-0.1%
3-准入选观察池,002698,博实股份,12.78,0.94,10.9/29.7,底位/绿柱缩短,15.1%,-0.5%
3-准入选观察池,002540,亚太科技,6.04,0.94,16.2/19.0,底位/绿柱缩短,15.1%,-0.8%
