类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600877,电科芯片,14.02,1.09,10.5/26.4,底位/绿柱缩短,16.8%,0.9%
1-多指标共振金叉,002454,松芝股份,5.66,1.02,10.8/0.9,金叉/绿柱缩短,56.7%,0.0%
1-多指标共振金叉,600724,宁波富达,6.55,0.66,25.0/11.0,金叉/绿柱缩短,5.2%,0.9%
1-多指标共振金叉,002601,龙佰集团,13.93,1.08,23.6/9.3,金叉/绿柱缩短,22.9%,-0.1%
1-多指标共振金叉,601226,华电科工,7.43,0.93,5.5/20.4,金叉/绿柱缩短,22.8%,-0.4%
1-多指标共振金叉,600843,上工申贝,7.53,1.18,23.1/21.1,金叉/绿柱缩短,21.3%,1.2%
1-多指标共振金叉,600929,雪天盐业,5.21,0.88,11.9/24.4,金叉/绿柱缩短,21.1%,0.8%
1-多指标共振金叉,002085,万丰奥威,11.6,1.22,18.6/12.9,金叉/绿柱缩短,20.0%,1.0%
1-多指标共振金叉,600967,内蒙一机,12.04,1.19,10.4/10.3,金叉/绿柱缩短,19.1%,0.2%
1-多指标共振金叉,600765,中航重机,13.8,0.99,6.7/13.8,金叉/绿柱缩短,16.8%,-0.1%
1-多指标共振金叉,001322,箭牌家居,6.36,0.69,21.2/24.5,金叉/绿柱缩短,16.2%,0.3%
1-多指标共振金叉,603668,天马科技,11.06,1.43,24.5/15.0,金叉/绿柱缩短,15.8%,-0.1%
1-多指标共振金叉,600955,维远股份,15.6,1.0,20.8/20.2,金叉/绿柱缩短,13.5%,0.3%
1-多指标共振金叉,601882,海天精工,20.51,1.3,21.7/28.7,金叉/绿柱缩短,1.1%,3.8%
2-极致缩量潜伏,603309,维力医疗,11.49,0.81,10.1/23.5,底位/绿柱缩短,22.8%,-0.9%
2-极致缩量潜伏,600326,西藏天路,7.57,0.84,13.8/11.9,底位/绿柱缩短,21.3%,0.1%
2-极致缩量潜伏,603106,恒银科技,7.44,0.68,23.2/22.2,底位/绿柱缩短,20.7%,-1.2%
2-极致缩量潜伏,603136,天目湖,9.07,0.71,24.5/19.0,底位/绿柱缩短,19.3%,-1.4%
2-极致缩量潜伏,600676,交运股份,6.34,0.7,11.5/11.8,底位/绿柱缩短,19.2%,-0.2%
2-极致缩量潜伏,002836,新宏泽,10.96,0.77,8.3/19.1,底位/绿柱缩短,19.1%,-0.8%
2-极致缩量潜伏,603277,银都股份,11.44,0.62,12.2/14.1,金叉/绿柱缩短,19.0%,-0.8%
2-极致缩量潜伏,601872,招商轮船,14.8,0.8,0.0/23.9,底位/绿柱缩短,18.5%,-1.1%
2-极致缩量潜伏,605167,利柏特,14.62,0.59,16.8/23.7,底位/绿柱缩短,18.5%,-1.3%
2-极致缩量潜伏,600352,浙江龙盛,11.04,0.82,13.0/26.5,底位/绿柱缩短,17.1%,-0.8%
2-极致缩量潜伏,600233,圆通速递,17.28,0.76,9.8/17.1,底位/绿柱缩短,16.2%,-0.5%
2-极致缩量潜伏,605158,华达新材,6.58,0.77,14.7/12.7,底位/绿柱缩短,15.8%,-1.4%
3-准入选观察池,002459,晶澳科技,8.44,1.03,0.0/11.8,底位/绿柱缩短,28.8%,-2.1%
3-准入选观察池,601012,隆基绿能,13.13,0.9,0.0/15.7,底位/绿柱缩短,27.7%,-1.6%
3-准入选观察池,600732,爱旭股份,11.21,0.94,11.5/26.1,底位/绿柱缩短,27.6%,-2.6%
3-准入选观察池,600026,中远海能,17.59,0.9,0.0/20.4,底位/绿柱缩短,27.2%,-0.6%
3-准入选观察池,000617,中油资本,7.33,0.99,16.7/8.7,底位/绿柱缩短,27.1%,-1.7%
3-准入选观察池,000735,罗 牛 山,5.21,1.08,14.3/13.8,底位/绿柱缩短,25.8%,-1.0%
3-准入选观察池,600629,华建集团,16.06,0.87,3.5/18.6,底位/绿柱缩短,25.7%,-0.2%
3-准入选观察池,002546,新联电子,7.13,0.97,22.2/27.3,底位/绿柱缩短,25.5%,-2.6%
3-准入选观察池,002941,新疆交建,11.68,0.86,23.1/28.9,底位/绿柱缩短,25.4%,-0.7%
3-准入选观察池,601611,中国核建,11.1,0.83,0.0/25.6,底位/绿柱缩短,25.3%,-1.5%
3-准入选观察池,601865,福莱特,11.13,0.99,10.6/17.2,底位/绿柱缩短,24.8%,-0.8%
3-准入选观察池,600839,四川长虹,7.02,1.08,16.2/10.2,底位/绿柱缩短,24.5%,-2.8%
3-准入选观察池,002416,爱施德,10.34,0.83,14.3/18.3,底位/绿柱缩短,24.1%,-1.6%
3-准入选观察池,002550,千红制药,5.98,1.05,8.5/12.7,底位/绿柱缩短,24.0%,-2.0%
3-准入选观察池,600216,浙江医药,12.08,1.07,23.1/17.7,底位/绿柱缩短,23.8%,-2.6%
3-准入选观察池,603279,景津装备,14.02,0.92,2.5/13.5,底位/绿柱缩短,23.5%,0.3%
3-准入选观察池,600517,国网英大,5.08,1.08,5.4/17.7,底位/绿柱缩短,22.2%,-1.2%
3-准入选观察池,603218,日月股份,11.14,0.99,14.6/23.0,底位/绿柱缩短,22.0%,-0.4%
3-准入选观察池,002373,千方科技,7.64,0.88,18.3/24.8,底位/绿柱缩短,22.0%,0.4%
3-准入选观察池,603421,鼎信通讯,7.08,0.92,14.5/23.7,底位/绿柱缩短,21.7%,0.6%
3-准入选观察池,600318,新力金融,6.52,1.08,21.7/14.8,底位/绿柱缩短,21.4%,-2.0%
3-准入选观察池,002755,奥赛康,13.02,0.78,0.0/23.5,底位/绿柱缩短,20.5%,-3.3%
3-准入选观察池,001236,弘业期货,7.78,0.96,16.7/13.2,底位/绿柱缩短,19.6%,-2.8%
3-准入选观察池,603535,嘉诚国际,6.89,0.87,17.3/11.5,底位/绿柱缩短,19.3%,0.9%
3-准入选观察池,002268,电科网安,13.77,1.07,23.6/27.5,底位/绿柱缩短,19.2%,1.1%
3-准入选观察池,002041,登海种业,8.49,1.0,24.7/16.5,底位/绿柱缩短,19.0%,-2.4%
3-准入选观察池,600694,大商股份,14.4,0.81,14.0/20.9,底位/绿柱缩短,18.9%,-3.3%
3-准入选观察池,000035,中国天楹,5.69,0.96,23.9/28.1,底位/绿柱缩短,18.4%,-3.7%
3-准入选观察池,601808,中海油服,12.95,1.07,22.5/17.1,底位/绿柱缩短,18.4%,-1.2%
3-准入选观察池,002588,史丹利,8.82,1.01,23.5/21.6,底位/绿柱缩短,18.2%,-2.6%
3-准入选观察池,600650,锦江在线,10.74,1.03,6.5/32.3,底位/绿柱缩短,18.1%,-2.5%
3-准入选观察池,002320,海峡股份,7.22,0.87,19.3/21.5,底位/绿柱缩短,17.5%,0.0%
3-准入选观察池,600095,湘财股份,7.83,0.87,2.9/18.2,底位/绿柱缩短,17.3%,-1.6%
3-准入选观察池,002232,启明信息,14.94,0.84,15.4/21.8,底位/绿柱缩短,17.1%,-2.0%
3-准入选观察池,001201,东瑞股份,11.18,1.02,22.4/19.5,底位/绿柱缩短,17.0%,-2.9%
