类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),603217,元利科技,25.14,1.08,18.7/25.3,底位/绿柱缩短,-0.7%,-0.0%
1-多指标共振金叉,000001,平安银行,10.96,0.06,11.5/12.3,金叉/绿柱缩短,4.8%,1.1%
1-多指标共振金叉,601788,光大证券,16.92,0.05,2.5/23.9,金叉/绿柱缩短,4.3%,1.0%
1-多指标共振金叉,600000,浦发银行,10.15,0.05,6.0/13.6,金叉/绿柱缩短,13.0%,1.0%
1-多指标共振金叉,601328,交通银行,6.6,0.04,12.5/13.8,金叉/绿柱缩短,10.1%,0.8%
3-准入选观察池,600996,贵广网络,8.84,0.03,18.7/23.1,底位/绿柱缩短,17.3%,0.0%
3-准入选观察池,600846,同济科技,12.95,0.03,11.2/32.4,底位/绿柱缩短,14.9%,-2.0%
3-准入选观察池,603758,秦安股份,14.83,0.03,15.9/14.6,底位/绿柱缩短,14.3%,-0.9%
3-准入选观察池,002020,京新药业,16.93,0.03,1.3/9.0,底位/绿柱缩短,13.4%,-0.1%
3-准入选观察池,002456,欧菲光,9.97,0.03,22.4/31.0,底位/绿柱缩短,11.8%,-1.1%
3-准入选观察池,601766,中国中车,6.36,0.04,0.0/18.9,底位/绿柱缩短,11.5%,0.3%
3-准入选观察池,600698,湖南天雁,8.23,0.02,23.9/23.6,底位/绿柱缩短,11.5%,-1.2%
