类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),603043,广州酒家,14.17,1.03,17.0/12.1,底位/绿柱缩短,9.2%,-0.3%
0-点火启动(即买即涨),601236,红塔证券,7.05,0.93,22.6/22.4,金叉/绿柱缩短,9.1%,0.6%
0-点火启动(即买即涨),002041,登海种业,8.88,1.3,12.2/19.9,底位/绿柱缩短,17.0%,0.9%
0-点火启动(即买即涨),601116,三江购物,12.15,2.57,12.5/27.3,金叉/绿柱缩短,14.8%,1.2%
0-点火启动(即买即涨),600771,广誉远,15.15,1.44,24.2/22.0,金叉/绿柱缩短,11.0%,1.3%
0-点火启动(即买即涨),000713,国投丰乐,5.93,1.54,18.2/20.3,金叉/绿柱缩短,10.6%,1.4%
1-多指标共振金叉,600639,浦东金桥,9.74,0.83,0.0/21.2,金叉/绿柱缩短,9.8%,-0.8%
1-多指标共振金叉,600908,无锡银行,5.44,0.79,10.5/19.5,金叉/绿柱缩短,9.0%,-0.2%
1-多指标共振金叉,600918,中泰证券,5.6,1.04,3.7/15.9,金叉/绿柱缩短,8.6%,0.2%
1-多指标共振金叉,600380,健康元,10.07,1.08,18.2/30.5,金叉/绿柱缩短,7.9%,-0.6%
1-多指标共振金叉,600059,古越龙山,8.29,1.89,15.2/34.2,金叉/绿柱缩短,7.2%,0.6%
1-多指标共振金叉,000876,新 希 望,7.95,1.25,0.0/14.9,金叉/绿柱缩短,7.1%,-0.8%
1-多指标共振金叉,001219,青岛食品,13.54,1.14,16.3/15.2,金叉/绿柱缩短,7.0%,0.9%
1-多指标共振金叉,600682,南京新百,5.56,1.54,3.4/5.4,金叉/绿柱缩短,22.5%,-2.3%
1-多指标共振金叉,601607,上海医药,16.39,1.7,11.4/24.7,金叉/绿柱缩短,2.6%,0.3%
1-多指标共振金叉,603027,千禾味业,7.62,1.66,0.0/2.9,金叉/绿柱缩短,19.8%,-1.3%
1-多指标共振金叉,605268,王力安防,10.53,1.26,5.8/15.6,金叉/绿柱缩短,19.4%,-1.8%
1-多指标共振金叉,003012,东鹏控股,5.28,1.2,20.6/32.6,金叉/绿柱缩短,17.2%,-0.8%
1-多指标共振金叉,600867,通化东宝,8.28,0.92,8.6/18.5,金叉/绿柱缩短,12.6%,0.2%
1-多指标共振金叉,002907,华森制药,12.24,1.39,7.2/20.6,金叉/绿柱缩短,12.6%,-0.8%
1-多指标共振金叉,002644,佛慈制药,7.51,1.08,15.8/18.3,金叉/绿柱缩短,12.4%,-0.4%
1-多指标共振金叉,002561,徐家汇,7.32,1.92,17.6/21.6,金叉/绿柱缩短,10.2%,0.7%
1-多指标共振金叉,002216,三全食品,13.14,1.31,3.5/10.1,金叉/绿柱缩短,-1.2%,-0.2%
2-极致缩量潜伏,603599,广信股份,11.21,0.7,22.5/18.2,底位/绿柱缩短,23.7%,-1.3%
2-极致缩量潜伏,601226,华电科工,8.03,0.76,15.5/27.0,底位/绿柱缩短,19.2%,-1.1%
2-极致缩量潜伏,002096,易普力,10.18,0.79,15.1/23.0,底位/绿柱缩短,18.8%,-0.3%
2-极致缩量潜伏,600676,交运股份,6.53,0.44,0.0/31.8,底位/绿柱缩短,18.3%,-0.8%
2-极致缩量潜伏,600989,宝丰能源,24.97,0.64,6.9/29.3,底位/绿柱缩短,16.0%,-0.7%
2-极致缩量潜伏,000726,鲁  泰Ａ,5.91,0.59,15.0/15.8,底位/绿柱缩短,16.0%,-1.2%
3-准入选观察池,603313,梦百合,5.6,1.01,14.7/32.2,底位/红柱,37.1%,-2.8%
3-准入选观察池,605599,菜百股份,15.96,0.98,20.3/8.9,底位/绿柱缩短,35.0%,-1.8%
3-准入选观察池,002960,青鸟消防,8.58,0.88,5.1/9.8,底位/绿柱缩短,31.2%,-4.6%
3-准入选观察池,600746,江苏索普,6.53,1.05,10.8/13.2,底位/绿柱缩短,29.6%,-3.7%
3-准入选观察池,002099,海翔药业,5.35,0.92,12.1/23.6,底位/绿柱缩短,27.4%,-2.4%
3-准入选观察池,002093,国脉科技,7.5,1.0,5.6/29.3,底位/绿柱缩短,27.2%,-2.8%
3-准入选观察池,600860,京城股份,9.47,0.87,3.8/30.3,底位/绿柱缩短,26.7%,-3.5%
3-准入选观察池,002724,海洋王,5.48,1.08,22.1/25.5,底位/绿柱缩短,25.5%,-2.3%
3-准入选观察池,600273,嘉化能源,7.31,0.84,24.8/27.0,底位/绿柱缩短,25.0%,-2.0%
3-准入选观察池,603787,新日股份,10.43,0.99,5.5/20.5,底位/绿柱缩短,24.7%,-2.0%
3-准入选观察池,600435,北方导航,12.12,0.92,7.7/15.1,底位/绿柱缩短,24.0%,-3.5%
3-准入选观察池,000852,石化机械,5.9,0.92,1.7/10.9,底位/绿柱缩短,23.7%,-3.1%
3-准入选观察池,600841,动力新科,7.13,0.95,0.0/22.4,底位/绿柱缩短,23.5%,-3.3%
3-准入选观察池,000576,甘化科工,7.67,1.05,11.0/23.4,底位/绿柱缩短,23.0%,-2.5%
3-准入选观察池,600618,氯碱化工,10.59,0.83,17.2/23.2,底位/绿柱缩短,23.0%,-3.2%
3-准入选观察池,603456,九洲药业,12.72,0.9,24.7/34.6,底位/红柱,23.0%,-0.9%
3-准入选观察池,000096,广聚能源,8.18,1.07,0.0/7.2,底位/绿柱缩短,22.9%,-2.0%
3-准入选观察池,000617,中油资本,7.74,0.86,3.3/9.0,底位/绿柱缩短,22.7%,-2.5%
3-准入选观察池,000705,浙江震元,6.96,1.08,3.8/15.1,底位/绿柱缩短,22.3%,-1.6%
3-准入选观察池,000625,长安汽车,8.1,1.08,0.0/1.5,底位/绿柱缩短,22.2%,-2.4%
3-准入选观察池,603727,博迈科,15.31,0.5,0.0/30.8,底位/绿柱缩短,22.1%,-3.0%
3-准入选观察池,603169,兰石重装,8.05,1.07,4.9/31.4,底位/绿柱缩短,22.0%,-0.7%
3-准入选观察池,002019,亿帆医药,10.1,1.08,8.9/16.1,底位/绿柱缩短,21.9%,-0.9%
3-准入选观察池,002367,康力电梯,5.59,1.06,4.6/29.5,底位/绿柱缩短,21.7%,-3.1%
3-准入选观察池,600731,湖南海利,5.73,0.76,10.8/14.7,底位/绿柱缩短,21.6%,-2.0%
3-准入选观察池,600057,厦门象屿,6.3,0.99,25.0/16.7,底位/绿柱缩短,21.5%,-1.4%
3-准入选观察池,001217,华尔泰,9.94,1.04,9.8/18.0,底位/绿柱缩短,21.4%,-2.6%
3-准入选观察池,600583,海油工程,5.66,1.05,6.2/19.5,底位/绿柱缩短,21.3%,-2.1%
3-准入选观察池,601808,中海油服,13.17,0.89,2.6/12.5,底位/绿柱缩短,21.1%,-1.9%
3-准入选观察池,002153,石基信息,8.3,0.87,5.7/15.8,底位/绿柱缩短,21.0%,-3.8%
3-准入选观察池,002537,海联金汇,6.5,1.02,8.7/15.9,底位/绿柱缩短,20.9%,-3.4%
3-准入选观察池,601611,中国核建,11.98,1.09,5.5/21.6,底位/绿柱缩短,20.7%,0.5%
3-准入选观察池,000905,厦门港务,9.38,0.73,0.7/21.3,底位/绿柱缩短,20.6%,-2.6%
3-准入选观察池,603151,邦基科技,13.76,1.06,13.8/19.6,底位/绿柱缩短,20.5%,-1.4%
3-准入选观察池,600579,中化装备,6.65,0.91,22.0/26.3,底位/绿柱缩短,20.3%,-1.5%
3-准入选观察池,601865,福莱特,11.99,1.03,18.6/20.0,底位/绿柱缩短,20.2%,-1.2%
3-准入选观察池,002035,华帝股份,5.11,0.88,6.9/10.1,底位/绿柱缩短,20.2%,-2.1%
3-准入选观察池,000798,中水渔业,8.37,1.05,10.2/22.2,底位/绿柱缩短,20.1%,-1.8%
3-准入选观察池,601949,中国出版,5.13,1.05,0.0/11.6,底位/绿柱缩短,20.0%,-0.4%
3-准入选观察池,600403,大有能源,5.01,1.07,11.5/18.9,底位/绿柱缩短,19.9%,-1.6%
3-准入选观察池,002911,佛燃能源,11.45,0.82,11.3/34.3,底位/红柱,19.8%,-2.1%
3-准入选观察池,601800,中国交建,6.28,0.97,5.4/4.2,底位/绿柱缩短,19.6%,-0.3%
3-准入选观察池,000888,峨眉山Ａ,10.31,0.94,11.0/18.8,底位/绿柱缩短,19.6%,-1.5%
3-准入选观察池,002483,润邦股份,5.8,1.07,20.0/24.0,底位/绿柱缩短,19.5%,-1.2%
3-准入选观察池,000635,英 力 特,7.03,0.93,15.4/25.1,底位/绿柱缩短,19.5%,-2.4%
3-准入选观察池,600318,新力金融,6.86,0.88,0.0/11.8,底位/绿柱缩短,19.5%,-2.6%
3-准入选观察池,002564,天沃科技,5.33,0.75,22.1/25.9,底位/绿柱缩短,19.2%,-3.1%
3-准入选观察池,002670,国盛证券,11.68,0.92,6.2/11.3,底位/绿柱缩短,19.2%,-2.0%
3-准入选观察池,002556,辉隆股份,5.2,0.93,6.1/7.1,底位/绿柱缩短,19.0%,-1.5%
3-准入选观察池,003040,楚天龙,13.37,1.09,19.2/18.5,底位/绿柱缩短,19.0%,-3.8%
3-准入选观察池,002908,德生科技,7.52,0.96,9.2/25.5,底位/绿柱缩短,18.8%,-3.1%
3-准入选观察池,603886,元祖股份,10.55,0.71,0.0/15.4,底位/绿柱缩短,18.8%,-2.6%
3-准入选观察池,603366,日出东方,7.59,0.99,23.9/28.3,底位/绿柱缩短,18.7%,-4.6%
3-准入选观察池,600588,用友网络,10.3,0.84,5.5/20.5,底位/绿柱缩短,18.6%,-3.7%
3-准入选观察池,600983,惠而浦,8.7,1.08,8.3/20.6,底位/红柱,18.6%,-2.0%
3-准入选观察池,000561,烽火电子,8.31,0.98,11.9/25.5,底位/绿柱缩短,18.6%,-3.3%
3-准入选观察池,603918,金桥信息,11.57,1.05,6.5/23.3,底位/绿柱缩短,18.6%,-3.7%
3-准入选观察池,002550,千红制药,6.37,0.89,19.4/17.5,底位/绿柱缩短,18.4%,-1.7%
3-准入选观察池,603896,寿仙谷,15.56,0.95,23.0/23.1,底位/绿柱缩短,18.3%,-1.5%
3-准入选观察池,002765,蓝黛科技,8.6,0.84,1.0/18.9,底位/绿柱缩短,18.2%,-3.8%
3-准入选观察池,600517,国网英大,5.46,0.88,18.7/25.2,底位/绿柱缩短,18.2%,-2.0%
3-准入选观察池,601969,海南矿业,9.88,0.86,20.0/14.1,底位/绿柱缩短,18.1%,-3.0%
3-准入选观察池,603079,圣达生物,14.1,0.78,0.0/13.1,底位/绿柱缩短,18.1%,-2.0%
