类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),001914,招商积余,9.92,0.74,24.5/31.8,金叉/绿柱缩短,12.0%,1.7%
1-多指标共振金叉,605018,长华集团,10.56,0.75,23.8/27.3,金叉/绿柱缩短,9.2%,1.5%
1-多指标共振金叉,002078,太阳纸业,14.93,0.76,22.5/30.3,金叉/绿柱缩短,7.8%,1.6%
1-多指标共振金叉,603809,豪能股份,10.51,1.11,15.8/21.6,金叉/绿柱缩短,23.4%,0.4%
1-多指标共振金叉,603567,珍宝岛,6.87,0.75,23.1/31.8,金叉/绿柱缩短,22.8%,-0.4%
1-多指标共振金叉,603901,永创智能,11.67,1.25,22.9/24.4,金叉/绿柱缩短,21.2%,2.6%
1-多指标共振金叉,600480,凌云股份,9.75,0.7,21.0/26.1,金叉/绿柱缩短,18.8%,0.9%
1-多指标共振金叉,600446,金证股份,12.95,0.9,17.0/30.1,金叉/绿柱缩短,18.5%,0.1%
1-多指标共振金叉,002045,国光电器,11.76,0.88,24.6/30.0,金叉/绿柱缩短,17.2%,0.9%
1-多指标共振金叉,002410,广联达,11.37,0.89,24.4/28.8,金叉/绿柱缩短,17.0%,0.4%
1-多指标共振金叉,001322,箭牌家居,7.56,0.95,21.6/25.9,金叉/绿柱缩短,16.5%,1.5%
1-多指标共振金叉,600095,湘财股份,9.46,0.92,24.5/33.5,金叉/绿柱缩短,14.6%,0.6%
1-多指标共振金叉,002249,大洋电机,9.34,0.84,24.0/28.6,金叉/绿柱缩短,13.1%,0.4%
1-多指标共振金叉,601636,旗滨集团,5.97,0.81,12.5/28.2,金叉/绿柱缩短,11.8%,1.0%
1-多指标共振金叉,002284,亚太股份,14.31,0.75,24.7/34.3,金叉/绿柱缩短,11.2%,2.2%
2-极致缩量潜伏,600595,中孚实业,7.1,0.73,16.4/24.3,底位/绿柱缩短,21.1%,0.1%
2-极致缩量潜伏,600843,上工申贝,9.51,0.68,18.8/26.0,底位/绿柱缩短,18.8%,0.7%
2-极致缩量潜伏,000050,深天马Ａ,8.04,0.69,23.5/21.6,底位/绿柱缩短,17.9%,1.1%
2-极致缩量潜伏,002277,友阿股份,6.18,0.74,19.7/26.1,底位/绿柱缩短,17.8%,0.0%
2-极致缩量潜伏,600859,王府井,12.31,0.7,20.5/31.8,底位/绿柱缩短,17.2%,1.1%
2-极致缩量潜伏,000830,鲁西化工,15.28,0.84,6.7/32.0,底位/绿柱缩短,17.1%,0.3%
2-极致缩量潜伏,002268,电科网安,16.93,0.79,22.2/30.8,底位/绿柱缩短,16.7%,1.1%
2-极致缩量潜伏,600909,华安证券,5.71,0.7,22.8/28.4,底位/绿柱缩短,16.7%,1.2%
2-极致缩量潜伏,603997,继峰股份,12.17,0.75,13.3/32.5,底位/绿柱缩短,15.1%,1.2%
3-准入选观察池,600588,用友网络,11.98,0.85,24.7/29.9,底位/绿柱缩短,18.1%,1.3%
3-准入选观察池,600185,珠免集团,5.93,0.98,14.1/27.2,底位/绿柱缩短,14.4%,2.1%
3-准入选观察池,600707,彩虹股份,5.78,0.98,16.2/19.4,底位/绿柱缩短,14.0%,-0.5%
3-准入选观察池,600848,上海临港,10.0,0.78,24.5/30.3,底位/绿柱缩短,13.7%,0.6%
3-准入选观察池,600197,伊力特,11.99,0.66,16.8/31.4,底位/绿柱缩短,12.7%,0.5%
3-准入选观察池,601108,财通证券,7.72,1.02,19.1/31.8,底位/绿柱缩短,12.4%,1.4%
3-准入选观察池,603035,常熟汽饰,13.68,1.09,19.3/33.2,底位/绿柱缩短,12.2%,0.7%
3-准入选观察池,600596,新安股份,11.06,0.64,20.4/29.2,底位/绿柱缩短,12.1%,1.8%
3-准入选观察池,002532,天山铝业,15.79,0.68,21.6/29.6,底位/绿柱缩短,12.0%,1.9%
3-准入选观察池,600733,北汽蓝谷,7.21,0.94,10.8/26.7,底位/绿柱缩短,11.7%,0.4%
3-准入选观察池,002111,威海广泰,9.54,0.98,23.6/34.0,底位/绿柱缩短,11.4%,2.5%
3-准入选观察池,603505,金石资源,17.78,0.65,22.9/23.0,底位/绿柱缩短,10.6%,1.8%
