类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
2-极致缩量潜伏,603806,福斯特,14.91,0.74,4.9/23.5,底位/绿柱缩短,16.2%,-0.8%
3-准入选观察池,605336,帅丰电器,10.4,0.97,0.0/20.7,底位/绿柱缩短,52.6%,-7.1%
3-准入选观察池,600032,浙江新能,6.64,0.87,23.9/12.3,底位/绿柱缩短,43.3%,-3.8%
3-准入选观察池,600126,杭钢股份,5.69,0.81,19.0/15.6,底位/绿柱缩短,42.0%,-3.9%
3-准入选观察池,000065,北方国际,9.19,0.84,1.2/15.3,底位/绿柱缩短,33.8%,-2.8%
3-准入选观察池,603169,兰石重装,6.29,0.72,0.0/24.8,底位/绿柱缩短,31.6%,-3.5%
3-准入选观察池,000006,深振业Ａ,6.8,1.01,24.8/31.5,底位/绿柱缩短,30.8%,-4.1%
3-准入选观察池,600468,百利电气,5.26,0.47,22.1/33.9,底位/红柱,29.8%,-4.0%
3-准入选观察池,603126,中材节能,6.03,0.74,15.5/14.7,底位/绿柱缩短,28.6%,-2.6%
3-准入选观察池,600232,金鹰股份,6.07,0.83,22.4/24.6,底位/绿柱缩短,28.1%,-2.7%
3-准入选观察池,600550,保变电气,10.93,1.02,15.3/20.1,底位/绿柱缩短,27.5%,-4.0%
3-准入选观察池,000042,中洲控股,7.3,0.82,24.6/28.7,底位/绿柱缩短,26.8%,-6.9%
3-准入选观察池,600268,国电南自,11.07,1.05,19.2/24.8,底位/绿柱缩短,25.3%,-3.5%
3-准入选观察池,600637,东方明珠,7.77,0.98,14.3/13.4,底位/绿柱缩短,22.2%,-3.7%
3-准入选观察池,002140,东华科技,8.93,0.86,25.0/20.2,底位/绿柱缩短,21.4%,-3.7%
3-准入选观察池,600131,国网信通,13.89,0.9,18.1/34.5,底位/绿柱缩短,21.0%,-2.9%
3-准入选观察池,002088,鲁阳节能,7.66,0.83,22.1/20.9,底位/绿柱缩短,19.7%,-3.6%
3-准入选观察池,600810,神马股份,5.94,0.64,12.0/34.9,底位/绿柱缩短,18.9%,-3.4%
3-准入选观察池,600475,华光环能,13.93,0.66,20.8/25.0,底位/红柱,16.1%,-3.1%
3-准入选观察池,601886,江河集团,7.85,0.88,20.6/6.8,底位/绿柱缩短,15.5%,-2.8%
3-准入选观察池,001239,永达股份,12.74,0.68,24.1/14.7,底位/绿柱缩短,13.0%,-1.5%
3-准入选观察池,600011,华能国际,6.8,0.71,13.8/23.5,底位/绿柱缩短,11.4%,-3.0%
3-准入选观察池,601298,青岛港,7.99,0.81,20.0/32.8,底位/绿柱缩短,10.1%,-1.2%
