类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
2-极致缩量潜伏,601058,赛轮轮胎,13.27,0.63,7.9/26.1,底位/绿柱缩短,18.5%,-1.1%
3-准入选观察池,603225,新凤鸣,15.4,0.94,0.4/17.4,底位/绿柱缩短,28.2%,-2.4%
3-准入选观察池,600595,中孚实业,7.04,0.8,5.4/29.3,底位/绿柱缩短,22.6%,-2.5%
3-准入选观察池,603567,珍宝岛,7.02,0.72,0.0/23.3,底位/绿柱缩短,22.3%,-1.8%
3-准入选观察池,002187,广百股份,6.36,0.96,22.4/30.4,底位/绿柱缩短,21.4%,-3.8%
3-准入选观察池,603815,交建股份,6.01,1.01,0.0/21.0,底位/绿柱缩短,20.6%,-3.2%
3-准入选观察池,002023,海特高新,10.62,0.95,20.5/25.0,底位/绿柱缩短,20.5%,-2.3%
3-准入选观察池,603668,天马科技,12.77,0.63,22.2/20.3,底位/绿柱缩短,20.3%,-3.2%
3-准入选观察池,601566,九牧王,10.53,0.99,23.8/29.8,底位/红柱,19.4%,-1.9%
3-准入选观察池,600530,交大昂立,5.31,0.85,21.2/27.7,底位/绿柱缩短,19.4%,-2.6%
3-准入选观察池,603305,旭升集团,14.3,0.95,5.1/14.9,底位/绿柱缩短,19.3%,-2.2%
3-准入选观察池,600143,金发科技,15.97,0.9,0.8/20.3,底位/绿柱缩短,18.6%,-2.3%
3-准入选观察池,002320,海峡股份,9.1,0.92,13.7/18.5,底位/绿柱缩短,18.3%,-1.3%
3-准入选观察池,002414,高德红外,13.32,0.99,14.1/15.7,底位/绿柱缩短,18.0%,-1.8%
3-准入选观察池,002062,宏润建设,7.91,0.87,24.0/21.4,底位/绿柱缩短,18.0%,-4.2%
3-准入选观察池,002434,万里扬,8.0,0.85,8.7/23.6,底位/绿柱缩短,17.7%,-1.2%
3-准入选观察池,600415,小商品城,13.34,0.93,19.2/31.0,底位/绿柱缩短,17.2%,-1.5%
3-准入选观察池,600480,凌云股份,10.02,0.87,0.0/16.5,底位/绿柱缩短,16.5%,-0.1%
3-准入选观察池,002363,隆基机械,7.99,0.77,9.0/33.9,底位/绿柱缩短,16.5%,-2.6%
