类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),601865,福莱特,11.18,1.74,15.0/20.5,底位/绿柱缩短,7.0%,-4.8%
0-点火启动(即买即涨),603111,康尼机电,5.87,1.13,7.7/26.2,底位/绿柱缩短,6.5%,1.7%
0-点火启动(即买即涨),000705,浙江震元,6.92,1.36,9.5/16.7,底位/绿柱缩短,5.4%,3.1%
0-点火启动(即买即涨),000501,武商集团,7.28,1.04,6.7/23.4,底位/绿柱缩短,4.8%,2.5%
0-点火启动(即买即涨),002282,博深股份,5.95,1.39,1.1/10.3,底位/绿柱缩短,38.6%,1.9%
0-点火启动(即买即涨),000881,中广核技,6.67,1.81,2.4/8.1,底位/绿柱缩短,32.4%,3.7%
0-点火启动(即买即涨),603128,华贸物流,5.32,0.84,4.8/27.8,底位/绿柱缩短,3.9%,1.3%
0-点火启动(即买即涨),002100,天康生物,7.28,1.22,6.6/16.3,底位/绿柱缩短,3.9%,2.8%
0-点火启动(即买即涨),603126,中材节能,6.1,0.97,2.7/19.3,底位/绿柱缩短,28.9%,2.4%
0-点火启动(即买即涨),002286,保龄宝,8.19,1.04,2.9/24.1,底位/绿柱缩短,27.2%,2.4%
0-点火启动(即买即涨),000410,沈阳机床,5.06,1.63,2.7/14.1,底位/绿柱缩短,25.4%,3.7%
0-点火启动(即买即涨),000610,西安旅游,5.89,1.02,3.1/18.8,底位/绿柱缩短,25.3%,2.6%
0-点火启动(即买即涨),600032,浙江新能,7.65,1.92,5.6/21.9,底位/绿柱缩短,20.1%,4.2%
0-点火启动(即买即涨),603801,志邦家居,6.0,1.11,6.0/17.9,底位/绿柱缩短,20.0%,4.0%
0-点火启动(即买即涨),002442,龙星科技,5.13,2.04,7.6/18.8,底位/绿柱缩短,18.0%,4.1%
0-点火启动(即买即涨),002646,天佑德酒,7.21,2.53,6.0/16.7,底位/绿柱缩短,17.8%,6.0%
0-点火启动(即买即涨),002786,银宝山新,7.84,1.03,4.1/20.3,底位/绿柱缩短,16.2%,2.1%
0-点火启动(即买即涨),002719,麦趣尔,6.06,1.0,11.7/25.5,底位/绿柱缩短,13.6%,3.4%
0-点火启动(即买即涨),000726,鲁  泰Ａ,6.0,1.44,2.6/15.4,底位/绿柱缩短,12.7%,1.7%
0-点火启动(即买即涨),600774,汉商集团,7.2,1.35,8.2/31.8,底位/绿柱缩短,11.2%,3.9%
0-点火启动(即买即涨),002926,华西证券,8.34,0.8,2.5/16.5,底位/绿柱缩短,10.5%,1.0%
0-点火启动(即买即涨),601007,金陵饭店,6.72,1.48,12.6/31.2,底位/绿柱缩短,1.5%,2.9%
0-点火启动(即买即涨),002563,森马服饰,6.18,0.85,8.1/32.8,底位/绿柱缩短,-3.3%,2.8%
2-极致缩量潜伏,600918,中泰证券,5.6,0.66,0.5/11.3,底位/绿柱缩短,23.8%,0.7%
2-极致缩量潜伏,600583,海油工程,5.55,0.78,0.0/11.6,底位/绿柱缩短,22.8%,-0.2%
2-极致缩量潜伏,600528,中铁工业,7.17,0.77,0.4/20.2,底位/绿柱缩短,20.9%,0.4%
2-极致缩量潜伏,002121,科陆电子,5.19,0.76,6.7/28.5,底位/绿柱缩短,19.7%,0.8%
2-极致缩量潜伏,600517,国网英大,5.06,0.82,0.9/26.7,底位/绿柱缩短,15.9%,0.8%
2-极致缩量潜伏,002883,中设股份,8.81,0.73,4.0/16.8,底位/绿柱缩短,15.4%,0.2%
3-准入选观察池,002429,兆驰股份,7.99,0.95,7.9/14.0,底位/绿柱缩短,45.9%,-2.0%
3-准入选观察池,002392,北京利尔,7.58,0.89,4.0/17.4,底位/绿柱缩短,27.1%,1.1%
3-准入选观察池,600623,华谊集团,8.5,1.01,4.4/20.4,底位/绿柱缩短,25.4%,2.3%
3-准入选观察池,600173,卧龙新能,6.3,1.07,2.9/11.7,底位/绿柱缩短,23.8%,1.3%
3-准入选观察池,601019,山东出版,7.07,1.01,0.9/23.8,底位/绿柱缩短,22.5%,1.3%
3-准入选观察池,600727,鲁北化工,7.67,1.0,3.8/9.8,底位/绿柱缩短,21.3%,1.9%
3-准入选观察池,000020,深华发Ａ,11.15,0.74,4.9/14.1,底位/绿柱缩短,20.7%,2.1%
3-准入选观察池,600416,湘电股份,8.42,0.75,9.0/28.4,底位/绿柱缩短,14.0%,0.2%
3-准入选观察池,002243,力合科创,7.27,0.49,2.2/15.3,底位/绿柱缩短,12.3%,-0.3%
3-准入选观察池,603107,上海汽配,12.15,0.51,2.3/24.7,底位/绿柱缩短,11.9%,1.2%
3-准入选观察池,000553,安道麦A,5.48,0.9,11.6/26.4,底位/绿柱缩短,11.1%,0.9%
