类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600319,亚星化学,5.91,1.27,24.6/28.0,底位/绿柱缩短,21.9%,1.9%
1-多指标共振金叉,002085,万丰奥威,10.15,0.62,24.2/24.3,金叉/绿柱缩短,24.2%,0.5%
1-多指标共振金叉,002438,江苏神通,12.8,0.58,16.5/27.8,金叉/绿柱缩短,21.2%,0.3%
2-极致缩量潜伏,003022,联泓新科,19.73,0.6,17.2/18.9,底位/绿柱缩短,24.7%,-0.8%
2-极致缩量潜伏,002590,万安科技,9.25,0.72,19.1/31.9,底位/绿柱缩短,24.3%,0.9%
2-极致缩量潜伏,002312,川发龙蟒,8.1,0.53,11.2/18.7,底位/绿柱缩短,19.4%,0.8%
3-准入选观察池,603826,坤彩科技,16.6,0.7,5.6/9.2,底位/绿柱缩短,84.5%,-1.7%
3-准入选观察池,605222,起帆电缆,18.98,0.54,20.2/31.2,底位/绿柱缩短,53.8%,-2.7%
3-准入选观察池,603798,康普顿,11.66,0.96,6.3/25.1,底位/绿柱缩短,37.8%,-3.2%
3-准入选观察池,600268,国电南自,10.26,0.86,19.1/19.5,底位/绿柱缩短,30.8%,-1.5%
3-准入选观察池,605218,伟时电子,13.55,0.86,6.0/24.9,底位/绿柱缩短,27.6%,0.2%
3-准入选观察池,600234,科新发展,21.78,0.9,19.9/22.1,底位/绿柱缩短,18.0%,-2.3%
