类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600312,平高电气,16.68,1.18,16.6/27.5,金叉/绿柱缩短,19.7%,1.2%
2-极致缩量潜伏,600191,华资实业,8.74,0.75,14.3/9.2,底位/绿柱缩短,26.7%,-1.2%
2-极致缩量潜伏,603132,金徽股份,14.68,0.78,12.2/32.8,底位/绿柱缩短,20.5%,-1.5%
2-极致缩量潜伏,000027,深圳能源,5.97,0.75,17.4/14.3,底位/绿柱缩短,17.7%,-0.8%
2-极致缩量潜伏,600894,广日股份,7.49,0.54,22.2/27.7,底位/绿柱缩短,16.1%,-0.7%
3-准入选观察池,605336,帅丰电器,10.01,0.71,0.5/16.0,底位/绿柱缩短,55.3%,-2.8%
3-准入选观察池,605222,起帆电缆,19.55,0.63,9.4/30.2,底位/绿柱缩短,50.5%,-6.5%
3-准入选观察池,605056,咸亨国际,14.29,1.09,0.0/21.2,底位/红柱,49.4%,-3.2%
3-准入选观察池,603095,越剑智能,12.6,0.97,11.7/18.9,底位/绿柱缩短,49.0%,-5.6%
3-准入选观察池,600032,浙江新能,6.47,0.79,16.7/23.3,底位/红柱,44.1%,-2.7%
3-准入选观察池,002300,太阳电缆,6.01,1.08,13.4/15.5,底位/绿柱缩短,42.2%,-5.8%
3-准入选观察池,600299,安迪苏,7.81,1.05,7.7/24.5,底位/红柱,40.8%,-1.1%
3-准入选观察池,000065,北方国际,8.59,0.93,3.2/10.3,底位/绿柱缩短,38.8%,-3.7%
3-准入选观察池,603070,万控智造,10.86,0.6,6.6/13.4,底位/绿柱缩短,36.7%,-5.4%
3-准入选观察池,000155,川能动力,10.58,0.86,0.0/17.0,底位/绿柱缩短,36.6%,-2.9%
3-准入选观察池,601777,千里科技,7.42,1.05,19.8/22.6,底位/绿柱缩短,36.6%,-4.8%
3-准入选观察池,603320,迪贝电气,16.0,0.82,0.3/22.7,底位/绿柱缩短,36.5%,-4.0%
3-准入选观察池,603105,芯能科技,6.49,1.06,15.9/23.9,底位/红柱,36.2%,-3.3%
3-准入选观察池,000559,万向钱潮,11.2,0.68,6.6/31.2,底位/绿柱缩短,35.9%,-6.8%
3-准入选观察池,603798,康普顿,11.95,0.79,2.1/24.0,底位/绿柱缩短,35.8%,-9.1%
3-准入选观察池,600876,凯盛新能,6.43,1.08,15.8/14.6,底位/绿柱缩短,35.0%,-6.7%
3-准入选观察池,603889,新澳股份,5.14,1.07,16.2/24.3,底位/红柱,33.6%,-1.7%
3-准入选观察池,600510,黑牡丹,6.55,0.89,17.5/32.9,底位/绿柱缩短,33.3%,-5.1%
3-准入选观察池,002545,东方铁塔,15.88,0.61,25.0/31.1,底位/红柱,33.0%,-3.9%
3-准入选观察池,002800,天顺股份,12.02,1.03,23.1/26.8,底位/红柱,33.0%,-6.2%
3-准入选观察池,600550,保变电气,10.28,0.9,13.6/15.1,底位/绿柱缩短,32.7%,-5.6%
3-准入选观察池,600490,鹏欣资源,5.64,0.71,6.8/27.8,底位/绿柱缩短,32.7%,-4.6%
3-准入选观察池,600268,国电南自,10.25,0.89,4.9/13.8,底位/绿柱缩短,32.6%,-4.7%
3-准入选观察池,000610,西安旅游,5.38,0.62,18.5/33.7,底位/红柱,32.6%,-4.3%
3-准入选观察池,605500,森林包装,6.17,0.97,21.1/31.4,底位/红柱,32.1%,-3.7%
3-准入选观察池,002284,亚太股份,8.93,0.94,2.6/34.1,底位/红柱,31.7%,-5.7%
3-准入选观察池,603018,华设集团,5.19,0.9,12.5/14.4,底位/绿柱缩短,31.6%,-1.7%
3-准入选观察池,603126,中材节能,5.79,1.03,10.9/9.4,底位/绿柱缩短,31.5%,-3.3%
3-准入选观察池,002451,摩恩电气,6.5,0.98,8.8/15.8,底位/绿柱缩短,31.0%,-4.6%
3-准入选观察池,002539,云图控股,9.88,0.95,10.7/17.8,底位/绿柱缩短,30.7%,-3.2%
3-准入选观察池,002276,万马股份,9.29,0.94,8.7/25.8,底位/绿柱缩短,30.2%,-4.7%
3-准入选观察池,600026,中远海能,15.36,0.91,4.5/26.5,底位/绿柱缩短,29.8%,-2.6%
3-准入选观察池,600841,动力新科,5.85,0.93,17.9/34.0,底位/红柱,29.6%,-7.7%
3-准入选观察池,601865,福莱特,9.22,1.02,19.1/30.5,底位/绿柱缩短,29.6%,-5.2%
3-准入选观察池,600021,上海电力,13.46,0.86,12.6/19.0,底位/绿柱缩短,29.1%,-3.9%
3-准入选观察池,002358,森源电气,5.08,1.0,9.1/21.9,底位/绿柱缩短,28.7%,-4.3%
3-准入选观察池,000020,深华发Ａ,10.1,1.09,14.7/23.1,底位/红柱,28.7%,-4.7%
3-准入选观察池,603729,龙韵股份,10.39,1.04,17.3/34.1,底位/红柱,28.6%,-5.0%
3-准入选观察池,603089,正裕工业,8.16,0.97,20.6/29.3,底位/红柱,28.2%,-2.0%
3-准入选观察池,603112,华翔股份,15.5,0.91,12.8/27.2,底位/绿柱缩短,27.8%,-2.9%
3-准入选观察池,601969,海南矿业,7.79,0.83,3.2/33.9,底位/红柱,27.7%,-1.9%
3-准入选观察池,600463,空港股份,7.4,1.0,20.4/27.5,底位/红柱,27.7%,-3.9%
3-准入选观察池,003022,联泓新科,19.32,0.78,19.9/14.9,底位/绿柱缩短,27.6%,-7.1%
3-准入选观察池,002085,万丰奥威,10.0,0.95,9.4/23.1,底位/绿柱缩短,27.5%,-5.3%
3-准入选观察池,002510,天汽模,5.07,1.01,14.1/30.0,底位/绿柱缩短,27.3%,-5.4%
3-准入选观察池,002949,华阳国际,9.83,1.07,9.6/30.0,底位/红柱,26.5%,-2.3%
3-准入选观察池,603429,集友股份,7.39,0.72,1.5/18.2,底位/绿柱缩短,26.5%,-4.0%
3-准入选观察池,002802,洪汇新材,10.23,0.89,22.9/24.4,底位/红柱,26.5%,-3.4%
3-准入选观察池,603218,日月股份,9.34,1.03,13.2/23.6,底位/绿柱缩短,26.4%,-2.7%
3-准入选观察池,002799,环球印务,5.91,0.98,23.3/26.8,底位/红柱,26.2%,-3.0%
3-准入选观察池,603806,福斯特,13.55,1.04,16.4/25.6,底位/绿柱缩短,26.1%,-4.8%
3-准入选观察池,603810,丰山集团,10.82,1.01,18.8/27.7,底位/红柱,25.9%,-3.6%
3-准入选观察池,000014,沙河股份,8.85,1.05,24.0/25.3,底位/红柱,25.9%,-3.8%
3-准入选观察池,600416,湘电股份,9.0,1.01,19.7/26.2,底位/绿柱缩短,25.6%,-3.0%
3-准入选观察池,603709,中源家居,13.11,1.02,18.6/25.7,底位/红柱,25.1%,-3.5%
3-准入选观察池,603081,大丰实业,8.45,0.94,10.8/29.9,底位/红柱,25.1%,-2.9%
3-准入选观察池,603602,纵横通信,10.25,1.08,18.2/16.4,底位/绿柱缩短,25.1%,-6.0%
3-准入选观察池,603282,亚光股份,13.58,1.0,12.7/21.6,底位/绿柱缩短,25.1%,-2.5%
3-准入选观察池,601012,隆基绿能,11.63,0.96,22.3/34.7,底位/绿柱缩短,25.0%,-4.0%
3-准入选观察池,000635,英 力 特,5.78,1.0,18.5/22.6,底位/绿柱缩短,24.8%,-4.2%
3-准入选观察池,600560,金自天正,10.32,1.0,13.5/25.1,底位/绿柱缩短,24.6%,-3.8%
3-准入选观察池,600444,国机通用,12.48,1.05,18.9/26.7,底位/红柱,24.6%,-3.9%
3-准入选观察池,603332,苏州龙杰,10.0,1.03,12.4/26.9,底位/红柱,24.4%,-2.2%
