类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
1-多指标共振金叉,600679,上海凤凰,8.71,1.16,5.4/8.1,金叉/绿柱缩短,21.9%,-0.5%
1-多指标共振金叉,000801,四川九洲,10.96,1.29,6.9/20.9,金叉/绿柱缩短,19.7%,-0.4%
2-极致缩量潜伏,603729,龙韵股份,10.64,0.68,12.9/18.8,底位/绿柱缩短,35.8%,-1.1%
2-极致缩量潜伏,600983,惠而浦,6.92,0.75,3.6/22.7,底位/绿柱缩短,33.6%,-0.7%
2-极致缩量潜伏,002166,莱茵生物,6.34,0.7,2.9/7.5,底位/绿柱缩短,32.3%,-1.4%
2-极致缩量潜伏,002227,奥 特 迅,6.4,0.84,24.2/20.8,底位/绿柱缩短,29.9%,-1.1%
2-极致缩量潜伏,002790,瑞尔特,5.43,0.8,20.6/18.8,底位/绿柱缩短,28.3%,-1.1%
2-极致缩量潜伏,603238,诺邦股份,11.31,0.7,18.8/21.3,底位/绿柱缩短,27.5%,-1.0%
2-极致缩量潜伏,600313,农发种业,5.29,0.79,9.6/16.4,底位/绿柱缩短,26.5%,-1.5%
2-极致缩量潜伏,600876,凯盛新能,7.3,0.5,16.2/33.8,底位/绿柱缩短,25.7%,-0.4%
2-极致缩量潜伏,605268,王力安防,9.13,0.78,21.7/21.3,底位/绿柱缩短,25.6%,-1.0%
2-极致缩量潜伏,601128,常熟银行,5.92,0.61,2.0/10.4,底位/绿柱缩短,23.8%,0.2%
2-极致缩量潜伏,000528,柳    工,7.57,0.82,14.9/28.8,底位/绿柱缩短,20.8%,-1.4%
2-极致缩量潜伏,600819,耀皮玻璃,5.7,0.72,0.0/23.6,底位/绿柱缩短,20.3%,-0.2%
2-极致缩量潜伏,603299,苏盐井神,8.82,0.8,0.0/20.1,底位/绿柱缩短,19.8%,-0.9%
2-极致缩量潜伏,002233,塔牌集团,7.14,0.77,7.3/25.3,底位/绿柱缩短,19.7%,-0.6%
2-极致缩量潜伏,605180,华生科技,12.24,0.67,18.7/34.0,底位/绿柱缩短,19.1%,-1.4%
2-极致缩量潜伏,000425,徐工机械,8.22,0.78,16.3/32.1,底位/绿柱缩短,18.9%,-0.2%
2-极致缩量潜伏,601107,四川成渝,5.03,0.73,24.7/21.5,底位/绿柱缩短,18.6%,-0.8%
2-极致缩量潜伏,601200,上海环境,6.63,0.8,0.0/8.7,底位/绿柱缩短,17.4%,-0.8%
2-极致缩量潜伏,000713,国投丰乐,5.26,0.84,6.0/18.7,底位/绿柱缩短,17.2%,-1.3%
2-极致缩量潜伏,600116,三峡水利,5.6,0.8,7.0/12.8,底位/绿柱缩短,17.2%,-1.4%
2-极致缩量潜伏,600188,兖矿能源,17.98,0.69,15.4/7.4,底位/绿柱缩短,17.0%,-1.0%
2-极致缩量潜伏,603609,禾丰股份,5.66,0.61,21.7/24.3,底位/绿柱缩短,16.3%,-0.9%
2-极致缩量潜伏,600236,桂冠电力,8.84,0.75,7.8/18.2,底位/绿柱缩短,16.1%,-1.1%
2-极致缩量潜伏,000680,山推股份,9.76,0.82,15.8/32.5,底位/绿柱缩短,15.5%,-0.9%
3-准入选观察池,600508,上海能源,7.4,0.89,13.1/9.4,底位/绿柱缩短,72.6%,-3.9%
3-准入选观察池,600629,华建集团,12.11,1.07,4.4/24.0,底位/绿柱缩短,55.8%,-3.4%
3-准入选观察池,603103,横店影视,14.21,0.85,0.6/13.3,底位/绿柱缩短,46.6%,-4.6%
3-准入选观察池,600746,江苏索普,5.26,0.7,8.8/21.9,底位/绿柱缩短,45.8%,-3.5%
3-准入选观察池,002572,索菲亚,7.42,0.74,0.0/9.4,底位/红柱,45.6%,-1.8%
3-准入选观察池,001300,三柏硕,11.55,0.97,4.8/3.5,底位/绿柱缩短,41.5%,-4.2%
3-准入选观察池,002116,中国海诚,6.75,1.0,0.0/16.7,底位/绿柱缩短,39.6%,-2.9%
3-准入选观察池,600126,杭钢股份,6.01,1.08,0.0/26.4,底位/绿柱缩短,39.6%,-5.4%
3-准入选观察池,603105,芯能科技,6.87,0.88,12.2/13.5,底位/绿柱缩短,39.5%,-2.0%
3-准入选观察池,601212,白银有色,5.04,0.85,20.8/31.9,底位/绿柱缩短,39.4%,-5.4%
