类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),002293,罗莱生活,9.94,1.14,16.0/33.5,底位/绿柱缩短,4.4%,1.7%
0-点火启动(即买即涨),603027,千禾味业,7.68,1.41,22.6/10.2,底位/绿柱缩短,17.8%,1.6%
0-点火启动(即买即涨),600138,中青旅,7.82,1.19,19.7/12.0,底位/绿柱缩短,15.2%,1.7%
1-多指标共振金叉,600335,国机汽车,5.5,1.03,25.0/27.6,金叉/绿柱缩短,9.3%,1.7%
1-多指标共振金叉,603233,大参林,16.5,1.01,21.4/15.8,金叉/绿柱缩短,9.2%,1.5%
1-多指标共振金叉,601065,江盐集团,7.68,0.85,25.0/14.6,金叉/绿柱缩短,8.2%,0.3%
1-多指标共振金叉,000756,新华制药,13.38,1.01,15.5/10.2,金叉/绿柱缩短,8.2%,1.2%
1-多指标共振金叉,601998,中信银行,7.42,1.35,8.9/7.1,金叉/绿柱缩短,7.8%,0.7%
1-多指标共振金叉,000876,新 希 望,7.89,0.96,20.5/19.7,金叉/绿柱缩短,7.6%,1.2%
1-多指标共振金叉,000550,江铃汽车,16.75,0.96,19.4/16.2,金叉/绿柱缩短,7.6%,1.8%
1-多指标共振金叉,605266,健之佳,18.04,0.92,22.2/10.5,金叉/绿柱缩短,6.3%,1.4%
1-多指标共振金叉,002749,国光股份,9.3,1.1,6.8/5.3,金叉/绿柱缩短,36.1%,2.2%
1-多指标共振金叉,000625,长安汽车,7.92,1.43,6.3/3.4,金叉/绿柱缩短,23.6%,0.5%
1-多指标共振金叉,600731,湖南海利,5.64,1.46,15.9/12.1,金叉/绿柱缩短,22.3%,-1.0%
1-多指标共振金叉,000617,中油资本,7.8,1.14,10.5/11.9,金叉/绿柱缩短,21.1%,0.4%
1-多指标共振金叉,000735,罗 牛 山,5.59,1.02,18.8/18.4,金叉/绿柱缩短,20.6%,0.5%
1-多指标共振金叉,600216,浙江医药,12.76,1.06,14.3/17.1,金叉/绿柱缩短,19.6%,1.4%
1-多指标共振金叉,002670,国盛证券,11.54,1.16,10.0/6.9,金叉/绿柱缩短,19.5%,0.1%
1-多指标共振金叉,000779,甘咨询,7.36,1.1,24.1/14.6,金叉/绿柱缩短,19.5%,0.3%
1-多指标共振金叉,000798,中水渔业,8.39,0.9,24.5/12.0,金叉/绿柱缩短,18.5%,-0.2%
1-多指标共振金叉,002367,康力电梯,5.68,1.32,20.3/21.0,金叉/绿柱缩短,18.3%,1.8%
1-多指标共振金叉,600195,中牧股份,6.6,0.96,20.8/14.5,金叉/绿柱缩短,17.4%,0.8%
1-多指标共振金叉,002103,广博股份,7.04,1.13,12.8/10.0,金叉/绿柱缩短,16.8%,-0.1%
1-多指标共振金叉,600679,上海凤凰,9.76,0.98,5.6/3.8,金叉/绿柱缩短,16.7%,-0.4%
1-多指标共振金叉,000419,通程控股,5.12,0.9,16.7/13.2,金叉/绿柱缩短,14.8%,0.4%
1-多指标共振金叉,002320,海峡股份,7.62,1.17,18.4/29.4,金叉/绿柱缩短,14.2%,0.7%
1-多指标共振金叉,000529,广弘控股,5.08,1.28,4.8/8.8,金叉/绿柱缩短,13.5%,0.2%
