类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),002423,中粮资本,10.12,1.27,20.8/26.9,金叉/金叉,6.6%,0.2%
1-多指标共振金叉,002644,佛慈制药,8.16,0.92,18.7/19.4,金叉/绿柱缩短,8.1%,-0.2%
1-多指标共振金叉,002030,达安基因,5.77,1.04,5.9/18.9,金叉/绿柱缩短,7.1%,0.0%
1-多指标共振金叉,600755,厦门国贸,6.1,1.36,19.2/14.5,金叉/绿柱缩短,6.4%,0.7%
1-多指标共振金叉,601019,山东出版,7.41,0.96,3.4/8.2,金叉/绿柱缩短,17.8%,-0.4%
1-多指标共振金叉,600028,中国石化,5.35,1.39,9.1/6.5,金叉/绿柱缩短,15.9%,0.2%
1-多指标共振金叉,603230,内蒙新华,10.6,1.11,1.8/17.4,金叉/绿柱缩短,15.3%,-1.3%
2-极致缩量潜伏,600029,南方航空,5.44,0.83,0.0/15.7,底位/红柱,21.8%,-1.3%
2-极致缩量潜伏,002670,国盛证券,12.46,0.52,5.6/17.4,底位/绿柱缩短,21.2%,-0.6%
2-极致缩量潜伏,002434,万里扬,7.22,0.81,6.6/22.1,底位/绿柱缩短,20.3%,0.3%
2-极致缩量潜伏,600866,星湖科技,6.25,0.84,14.6/18.2,底位/绿柱缩短,16.7%,-1.4%
2-极致缩量潜伏,601111,中国国航,6.66,0.66,12.5/28.1,底位/红柱,15.6%,-0.6%
3-准入选观察池,601212,白银有色,7.46,0.72,14.3/21.9,底位/绿柱缩短,25.8%,-2.2%
3-准入选观察池,603103,横店影视,20.13,0.75,15.4/33.6,底位/绿柱缩短,23.4%,-5.0%
3-准入选观察池,600843,上工申贝,8.34,0.62,9.4/27.4,底位/绿柱缩短,23.2%,-2.0%
3-准入选观察池,002094,青岛金王,5.86,0.74,4.2/12.1,底位/绿柱缩短,21.0%,-1.7%
3-准入选观察池,603456,九洲药业,14.15,1.06,10.4/20.0,底位/绿柱缩短,20.7%,0.9%
3-准入选观察池,002052,同洲电子,9.4,1.01,6.6/28.1,底位/绿柱缩短,20.0%,-3.8%
3-准入选观察池,600916,中国黄金,8.68,0.99,0.0/10.8,底位/绿柱缩短,18.8%,-1.2%
3-准入选观察池,002258,利尔化学,13.0,0.86,19.4/19.2,底位/绿柱缩短,18.8%,-0.5%
3-准入选观察池,002268,电科网安,15.43,0.99,9.0/26.9,底位/绿柱缩短,18.6%,-3.4%
3-准入选观察池,002276,万马股份,13.17,0.83,11.0/31.6,底位/绿柱缩短,18.1%,-3.2%
3-准入选观察池,000655,金岭矿业,8.22,0.94,0.0/28.2,底位/红柱,17.5%,-1.3%
3-准入选观察池,003040,楚天龙,14.55,0.74,1.9/21.1,底位/绿柱缩短,17.0%,-1.9%
3-准入选观察池,600848,上海临港,9.0,0.87,18.9/24.9,底位/绿柱缩短,16.5%,-0.3%
3-准入选观察池,601956,东贝集团,5.89,1.0,14.3/22.5,底位/绿柱缩短,16.0%,-3.1%
3-准入选观察池,603277,银都股份,13.03,0.89,7.5/26.9,底位/绿柱缩短,15.9%,0.1%
3-准入选观察池,600399,抚顺特钢,5.53,1.05,0.0/25.6,底位/绿柱缩短,15.9%,-2.5%
3-准入选观察池,600084,中信尼雅,5.93,0.0,12.5/23.8,底位/绿柱缩短,15.8%,0.0%
3-准入选观察池,002540,亚太科技,6.07,0.55,4.3/20.3,底位/绿柱缩短,15.5%,-1.8%
3-准入选观察池,603636,南威软件,8.77,1.01,22.7/32.4,底位/红柱,15.1%,-3.3%
3-准入选观察池,000710,贝瑞基因,9.75,0.86,22.7/26.0,底位/绿柱缩短,15.1%,-1.1%
