类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
1-多指标共振金叉,601319,中国人保,7.43,0.5,20.8/24.9,金叉/绿柱缩短,18.4%,-0.8%
2-极致缩量潜伏,000061,农 产 品,7.41,0.45,6.8/5.4,底位/绿柱缩短,24.1%,-0.3%
3-准入选观察池,600828,茂业商业,5.14,0.94,2.0/22.8,底位/绿柱缩短,23.3%,-2.6%
3-准入选观察池,002564,天沃科技,5.97,0.63,18.0/23.3,底位/绿柱缩短,22.3%,-3.1%
3-准入选观察池,002031,巨轮智能,6.16,0.81,5.4/30.3,底位/绿柱缩短,21.9%,-2.8%
3-准入选观察池,603758,秦安股份,12.33,0.96,17.4/32.0,底位/绿柱缩短,20.4%,-1.7%
3-准入选观察池,600475,华光环能,17.24,0.82,15.4/24.0,底位/绿柱缩短,19.4%,-2.0%
3-准入选观察池,000532,华金资本,13.14,1.03,18.3/28.4,底位/绿柱缩短,18.1%,-2.0%
3-准入选观察池,002096,易普力,11.52,0.58,15.6/17.8,底位/绿柱缩短,17.8%,-2.0%
3-准入选观察池,600707,彩虹股份,5.55,1.02,20.5/15.9,底位/绿柱缩短,17.5%,-1.9%
3-准入选观察池,002085,万丰奥威,13.79,1.01,18.7/22.4,底位/绿柱缩短,14.5%,-2.3%
3-准入选观察池,603677,奇精机械,15.33,0.72,22.7/34.4,底位/绿柱缩短,14.1%,-1.5%
3-准入选观察池,002534,西子洁能,16.04,0.96,24.2/27.0,底位/绿柱缩短,12.5%,-3.0%
3-准入选观察池,601882,海天精工,18.4,0.78,23.1/13.1,底位/绿柱缩短,11.1%,-2.2%
