类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),601212,白银有色,6.66,1.03,21.0/30.5,底位/绿柱缩短,26.1%,4.7%
0-点火启动(即买即涨),600299,安迪苏,11.64,1.19,23.8/20.6,金叉/绿柱缩短,14.7%,3.8%
1-多指标共振金叉,600746,江苏索普,7.04,0.82,13.8/16.1,金叉/绿柱缩短,21.1%,1.6%
1-多指标共振金叉,601077,渝农商行,6.83,1.16,22.7/16.7,金叉/绿柱缩短,2.6%,0.2%
1-多指标共振金叉,600970,中材国际,8.57,0.64,24.2/23.1,金叉/绿柱缩短,19.1%,1.2%
1-多指标共振金叉,600352,浙江龙盛,11.63,0.73,19.4/10.9,金叉/绿柱缩短,17.5%,1.6%
1-多指标共振金叉,002550,千红制药,6.59,0.97,19.4/30.5,金叉/绿柱缩短,15.5%,1.8%
1-多指标共振金叉,002556,辉隆股份,5.43,0.87,13.9/8.5,金叉/绿柱缩短,15.2%,0.6%
1-多指标共振金叉,600817,宇通重工,10.25,0.68,13.5/7.1,金叉/绿柱缩短,14.2%,1.2%
1-多指标共振金叉,002790,瑞尔特,6.88,1.15,21.8/33.1,金叉/绿柱缩短,12.7%,1.5%
1-多指标共振金叉,600104,上汽集团,12.48,0.9,11.7/13.8,金叉/绿柱缩短,11.2%,0.6%
2-极致缩量潜伏,605599,菜百股份,16.22,0.71,10.5/10.5,底位/绿柱缩短,35.5%,0.1%
2-极致缩量潜伏,600422,昆药集团,8.43,0.71,8.3/16.8,底位/绿柱缩短,29.8%,-0.9%
2-极致缩量潜伏,600866,星湖科技,5.38,0.74,13.3/27.9,底位/绿柱缩短,28.6%,-0.2%
2-极致缩量潜伏,603871,嘉友国际,11.02,0.68,12.4/13.7,底位/绿柱缩短,25.4%,-1.0%
2-极致缩量潜伏,000721,西安饮食,6.4,0.84,0.0/4.4,底位/绿柱缩短,24.8%,-1.4%
2-极致缩量潜伏,000525,红太阳,5.02,0.83,7.4/19.8,底位/绿柱缩短,24.0%,0.0%
2-极致缩量潜伏,600328,中盐化工,7.26,0.62,7.0/14.3,底位/绿柱缩短,22.9%,0.3%
2-极致缩量潜伏,603599,广信股份,11.59,0.66,17.0/9.8,底位/绿柱缩短,21.2%,1.0%
2-极致缩量潜伏,000061,农 产 品,6.53,0.76,13.2/22.9,底位/绿柱缩短,20.7%,0.8%
2-极致缩量潜伏,002019,亿帆医药,10.3,0.82,17.1/19.5,底位/绿柱缩短,20.7%,-0.8%
2-极致缩量潜伏,002140,东华科技,10.4,0.74,21.6/16.9,底位/绿柱缩短,20.5%,1.0%
