类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),601686,友发集团,5.39,0.96,23.1/34.0,金叉/绿柱缩短,8.7%,0.4%
1-多指标共振金叉,605599,菜百股份,16.61,0.82,8.6/14.2,金叉/绿柱缩短,34.1%,-0.3%
1-多指标共振金叉,600955,维远股份,17.98,0.57,17.8/34.0,金叉/绿柱缩短,2.4%,0.7%
1-多指标共振金叉,002769,普路通,8.88,1.4,4.9/15.0,金叉/绿柱缩短,19.8%,-0.7%
1-多指标共振金叉,600582,天地科技,5.46,1.05,13.6/18.4,金叉/绿柱缩短,14.1%,0.6%
1-多指标共振金叉,000009,中国宝安,7.88,0.93,6.3/27.5,金叉/绿柱缩短,12.6%,0.4%
1-多指标共振金叉,603055,台华新材,8.54,0.61,17.3/33.5,金叉/绿柱缩短,10.5%,0.7%
2-极致缩量潜伏,601212,白银有色,6.63,0.72,0.0/28.8,底位/绿柱缩短,28.2%,-1.2%
2-极致缩量潜伏,600057,厦门象屿,6.39,0.77,3.7/32.7,底位/绿柱缩短,22.3%,-1.1%
2-极致缩量潜伏,000655,金岭矿业,7.59,0.65,5.3/26.3,底位/绿柱缩短,20.5%,-0.6%
2-极致缩量潜伏,002073,软控股份,6.06,0.63,10.3/15.2,底位/绿柱缩短,19.8%,-1.5%
2-极致缩量潜伏,000061,农 产 品,6.66,0.59,19.8/29.9,底位/绿柱缩短,19.6%,-1.0%
2-极致缩量潜伏,605108,同庆楼,14.05,0.66,5.7/13.6,底位/绿柱缩短,19.6%,-1.1%
2-极致缩量潜伏,000157,中联重科,7.25,0.69,6.0/34.7,底位/绿柱缩短,19.1%,-0.1%
2-极致缩量潜伏,600620,天宸股份,5.2,0.79,7.1/20.3,底位/绿柱缩短,18.9%,-1.1%
2-极致缩量潜伏,600328,中盐化工,7.55,0.53,7.8/21.2,底位/绿柱缩短,18.9%,-1.3%
2-极致缩量潜伏,002019,亿帆医药,10.51,0.65,14.1/26.1,底位/绿柱缩短,18.9%,0.4%
2-极致缩量潜伏,601865,福莱特,12.57,0.77,11.6/23.9,底位/绿柱缩短,17.9%,-1.3%
2-极致缩量潜伏,600028,中国石化,5.1,0.74,8.3/21.4,底位/红柱,16.4%,-0.6%
2-极致缩量潜伏,603639,海利尔,11.47,0.57,20.0/8.4,底位/绿柱缩短,16.0%,-0.4%
2-极致缩量潜伏,603187,海容冷链,13.09,0.63,0.0/28.2,底位/绿柱缩短,16.0%,-0.6%
2-极致缩量潜伏,600916,中国黄金,8.29,0.67,7.2/34.0,底位/绿柱缩短,15.9%,-1.1%
3-准入选观察池,603113,金能科技,5.31,0.82,20.9/16.8,底位/绿柱缩短,35.3%,-1.8%
3-准入选观察池,600422,昆药集团,8.55,0.83,5.6/15.0,底位/绿柱缩短,29.5%,-1.7%
3-准入选观察池,002427,尤夫股份,5.05,0.88,1.6/12.0,底位/绿柱缩短,29.0%,-2.9%
3-准入选观察池,600866,星湖科技,5.53,0.66,11.3/29.9,底位/绿柱缩短,26.2%,-2.3%
3-准入选观察池,000525,红太阳,5.03,0.75,4.9/17.3,底位/绿柱缩短,24.5%,-1.6%
3-准入选观察池,000721,西安饮食,6.52,0.97,5.7/8.5,底位/绿柱缩短,23.7%,-1.7%
3-准入选观察池,000930,中粮科技,5.34,0.9,6.8/22.0,底位/绿柱缩短,23.5%,-2.2%
3-准入选观察池,002724,海洋王,5.74,0.58,19.1/11.6,底位/绿柱缩短,22.7%,-2.0%
3-准入选观察池,605183,确成股份,16.02,1.07,17.0/25.1,底位/绿柱缩短,22.6%,-1.7%
3-准入选观察池,000524,岭南控股,9.28,1.08,12.9/22.6,底位/绿柱缩短,22.1%,-2.4%
3-准入选观察池,000830,鲁西化工,13.92,1.02,6.7/15.2,底位/绿柱缩短,21.1%,-1.2%
3-准入选观察池,600352,浙江龙盛,11.53,1.02,4.8/14.3,底位/绿柱缩短,20.0%,-0.3%
3-准入选观察池,000913,钱江摩托,12.28,0.91,17.8/18.0,金叉/绿柱缩短,19.3%,-0.9%
3-准入选观察池,002312,川发龙蟒,9.87,0.69,4.9/19.7,底位/绿柱缩短,19.1%,-2.1%
3-准入选观察池,603599,广信股份,11.88,1.07,9.1/12.3,底位/绿柱缩短,19.1%,0.5%
3-准入选观察池,600970,中材国际,8.66,0.93,9.5/16.5,底位/绿柱缩短,18.7%,-0.4%
3-准入选观察池,002096,易普力,10.56,0.92,0.0/27.9,底位/绿柱缩短,18.7%,-1.9%
3-准入选观察池,000017,深中华A,5.77,0.72,6.4/18.4,底位/绿柱缩短,18.4%,-2.4%
3-准入选观察池,002140,东华科技,10.64,0.75,14.9/28.7,底位/绿柱缩短,18.2%,-1.9%
3-准入选观察池,600746,江苏索普,7.23,1.0,17.0/12.4,底位/绿柱缩短,18.2%,-1.4%
3-准入选观察池,002852,道道全,8.51,0.81,22.4/23.0,底位/绿柱缩短,17.9%,-2.1%
3-准入选观察池,600120,浙江东方,5.01,0.62,3.1/17.9,底位/绿柱缩短,17.6%,-2.7%
3-准入选观察池,600810,神马股份,6.93,0.98,19.2/32.0,底位/绿柱缩短,17.3%,-0.9%
