类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),002698,博实股份,11.68,0.95,14.6/28.0,金叉/绿柱缩短,15.2%,1.7%
1-多指标共振金叉,605169,洪通燃气,10.02,0.89,0.0/18.6,金叉/绿柱缩短,22.9%,-0.4%
1-多指标共振金叉,002799,环球印务,6.76,1.1,8.8/28.6,金叉/绿柱缩短,19.6%,-0.3%
1-多指标共振金叉,002238,天威视讯,5.9,1.13,17.8/21.7,金叉/绿柱缩短,19.2%,-0.7%
1-多指标共振金叉,600051,宁波联合,6.15,0.94,8.3/32.1,金叉/绿柱缩短,18.4%,-1.3%
1-多指标共振金叉,603229,奥翔药业,8.45,1.31,8.7/12.8,金叉/绿柱缩短,17.0%,0.6%
1-多指标共振金叉,603022,新通联,9.15,1.04,15.8/24.7,金叉/绿柱缩短,14.7%,0.3%
1-多指标共振金叉,600712,南宁百货,5.24,1.22,10.3/21.3,金叉/绿柱缩短,14.3%,-0.2%
2-极致缩量潜伏,002394,联发股份,9.33,0.8,18.2/28.2,底位/金叉,32.6%,-0.5%
2-极致缩量潜伏,000876,新 希 望,6.52,0.61,5.9/10.1,底位/绿柱缩短,24.9%,-0.9%
2-极致缩量潜伏,603277,银都股份,10.64,0.72,12.3/12.7,底位/绿柱缩短,23.3%,-1.3%
2-极致缩量潜伏,600104,上汽集团,10.65,0.75,5.4/17.6,底位/绿柱缩短,23.3%,-1.3%
2-极致缩量潜伏,603326,我乐家居,6.77,0.82,16.7/33.2,底位/绿柱缩短,21.6%,-1.3%
2-极致缩量潜伏,002103,广博股份,6.38,0.79,18.7/24.6,底位/绿柱缩短,21.6%,-0.2%
2-极致缩量潜伏,600966,博汇纸业,5.25,0.61,16.7/23.1,底位/绿柱缩短,18.7%,-1.3%
2-极致缩量潜伏,601128,常熟银行,6.39,0.71,13.5/28.9,底位/绿柱缩短,18.3%,-1.4%
3-准入选观察池,600299,安迪苏,9.78,0.99,21.4/18.3,底位/绿柱缩短,29.7%,-3.4%
3-准入选观察池,002382,蓝帆医疗,5.49,0.99,8.3/9.4,底位/绿柱缩短,29.6%,-2.0%
3-准入选观察池,603103,横店影视,16.61,0.65,19.9/31.8,底位/绿柱缩短,28.9%,-3.4%
3-准入选观察池,603291,联合水务,9.06,0.96,20.9/23.3,底位/绿柱缩短,26.5%,-1.5%
3-准入选观察池,600989,宝丰能源,22.02,1.06,22.4/28.0,底位/绿柱缩短,24.6%,-1.3%
3-准入选观察池,605388,均瑶健康,5.32,0.93,24.2/10.0,底位/绿柱缩短,24.3%,-0.8%
3-准入选观察池,605136,丽人丽妆,8.15,0.89,15.4/26.0,底位/绿柱缩短,22.5%,-1.7%
3-准入选观察池,002180,纳思达,13.95,0.93,14.3/28.1,底位/绿柱缩短,22.1%,-2.7%
3-准入选观察池,603551,奥普科技,9.52,0.72,4.1/28.1,底位/绿柱缩短,21.7%,-2.4%
3-准入选观察池,002543,万和电气,6.74,0.76,7.4/23.4,底位/绿柱缩短,21.4%,-1.6%
3-准入选观察池,603810,丰山集团,12.3,1.09,2.7/26.1,底位/绿柱缩短,21.1%,-0.6%
3-准入选观察池,601808,中海油服,12.07,0.74,21.1/19.8,底位/绿柱缩短,21.0%,-2.6%
3-准入选观察池,600706,曲江文旅,7.49,1.06,18.8/27.9,底位/绿柱缩短,20.7%,-1.2%
3-准入选观察池,002911,佛燃能源,10.48,0.93,20.0/19.5,底位/绿柱缩短,20.7%,0.0%
3-准入选观察池,002968,新大正,9.28,0.98,24.1/34.4,底位/绿柱缩短,19.5%,-0.8%
3-准入选观察池,601965,中国汽研,13.78,0.65,14.5/22.4,底位/绿柱缩短,19.3%,-2.1%
3-准入选观察池,002677,浙江美大,6.55,0.87,20.7/31.5,底位/绿柱缩短,16.7%,-2.1%
3-准入选观察池,601107,四川成渝,5.49,1.1,22.2/18.3,底位/绿柱缩短,16.0%,-2.5%
3-准入选观察池,605266,健之佳,16.15,0.83,14.7/33.7,底位/绿柱缩短,16.0%,-2.7%
3-准入选观察池,603970,中农立华,10.6,1.01,0.0/24.4,底位/绿柱缩短,15.4%,-1.1%
3-准入选观察池,601857,中国石油,9.95,0.78,10.9/31.8,底位/绿柱缩短,15.3%,-1.8%
3-准入选观察池,002022,科华生物,5.03,0.9,17.6/31.9,底位/绿柱缩短,15.2%,-1.0%
3-准入选观察池,002205,国统股份,11.31,1.09,6.9/21.7,底位/绿柱缩短,14.9%,-0.8%
3-准入选观察池,603035,常熟汽饰,11.49,1.08,18.1/30.1,底位/绿柱缩短,14.9%,-1.4%
3-准入选观察池,000875,吉电股份,5.96,0.91,15.6/23.9,底位/绿柱缩短,13.9%,-1.0%
3-准入选观察池,003037,三和管桩,6.2,0.81,7.7/27.0,底位/绿柱缩短,13.4%,-1.0%
3-准入选观察池,600420,国药现代,8.48,0.98,22.4/31.2,底位/绿柱缩短,13.4%,-0.9%
3-准入选观察池,601811,新华文轩,11.86,0.9,10.4/28.2,底位/绿柱缩短,13.3%,-1.9%
3-准入选观察池,600007,中国国贸,18.7,0.88,11.2/33.1,底位/绿柱缩短,13.2%,-3.9%
3-准入选观察池,000421,南京公用,5.44,0.8,24.3/33.9,底位/绿柱缩短,13.2%,-1.1%
3-准入选观察池,000409,云鼎科技,8.91,0.88,24.3/30.6,底位/绿柱缩短,13.0%,-1.6%
3-准入选观察池,001219,青岛食品,12.52,0.98,4.4/28.0,底位/绿柱缩短,12.8%,-1.9%
3-准入选观察池,605122,四方新材,11.93,0.67,11.2/26.0,底位/绿柱缩短,11.9%,-0.4%
