类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600679,上海凤凰,12.23,0.84,23.4/30.3,底位/绿柱缩短,9.2%,-0.6%
0-点火启动(即买即涨),603901,永创智能,13.25,1.35,17.5/28.4,底位/绿柱缩短,8.6%,-0.7%
0-点火启动(即买即涨),600712,南宁百货,6.22,1.04,21.3/33.6,金叉/绿柱缩短,7.9%,0.3%
0-点火启动(即买即涨),000058,深 赛 格,8.56,0.77,22.7/29.4,底位/绿柱缩短,7.9%,-0.7%
0-点火启动(即买即涨),000810,创维数字,11.0,0.79,23.8/32.3,底位/绿柱缩短,7.5%,-0.6%
0-点火启动(即买即涨),603079,圣达生物,17.47,0.68,18.9/23.2,底位/绿柱缩短,6.9%,-0.7%
0-点火启动(即买即涨),603898,好莱客,14.09,1.08,18.9/26.3,底位/绿柱缩短,4.1%,0.7%
0-点火启动(即买即涨),600138,中青旅,9.47,0.71,21.7/27.3,底位/绿柱缩短,4.1%,-0.3%
0-点火启动(即买即涨),603219,富佳股份,16.78,1.03,18.9/25.1,底位/绿柱缩短,3.2%,-0.7%
0-点火启动(即买即涨),003016,欣贺股份,8.41,0.88,23.8/30.2,底位/绿柱缩短,12.6%,-1.3%
0-点火启动(即买即涨),603528,多伦科技,8.91,0.99,20.5/25.6,底位/绿柱缩短,12.5%,-0.4%
0-点火启动(即买即涨),002752,昇兴股份,6.33,0.74,24.7/31.6,底位/绿柱缩短,10.4%,-0.9%
0-点火启动(即买即涨),002765,蓝黛科技,10.99,0.84,20.9/24.9,底位/绿柱缩短,10.3%,-0.5%
1-多指标共振金叉,603668,天马科技,13.82,1.46,2.8/14.4,金叉/绿柱缩短,15.2%,-0.7%
1-多指标共振金叉,600933,爱柯迪,17.14,1.1,22.0/24.9,金叉/绿柱缩短,11.5%,-1.7%
2-极致缩量潜伏,603429,集友股份,8.95,0.71,13.3/24.7,底位/绿柱缩短,15.8%,-0.4%
3-准入选观察池,601566,九牧王,10.99,0.89,20.8/20.5,底位/绿柱缩短,18.8%,-1.4%
3-准入选观察池,002320,海峡股份,9.72,0.98,11.8/25.8,底位/绿柱缩短,15.7%,-2.9%
3-准入选观察池,605228,神通科技,12.88,1.02,15.0/30.9,底位/绿柱缩短,14.1%,-2.5%
3-准入选观察池,600415,小商品城,14.02,0.68,24.1/25.2,底位/绿柱缩短,14.1%,-1.4%
3-准入选观察池,605555,德昌股份,15.97,0.75,15.6/29.9,底位/绿柱缩短,13.5%,-2.0%
3-准入选观察池,603101,汇嘉时代,8.68,0.72,20.6/18.1,底位/绿柱缩短,13.4%,-1.5%
3-准入选观察池,002695,煌上煌,10.36,0.64,20.0/22.5,底位/绿柱缩短,13.0%,-1.6%
3-准入选观察池,600859,王府井,13.11,0.89,18.5/16.0,底位/绿柱缩短,12.8%,-1.3%
3-准入选观察池,603535,嘉诚国际,9.17,0.83,19.0/21.7,底位/绿柱缩短,12.5%,-1.3%
3-准入选观察池,002029,七 匹 狼,10.49,0.97,14.4/20.0,底位/绿柱缩短,12.2%,-1.7%
3-准入选观察池,002676,顺威股份,7.29,0.87,21.1/26.4,底位/绿柱缩短,12.1%,-2.2%
3-准入选观察池,605108,同庆楼,17.59,1.01,9.8/15.1,底位/绿柱缩短,11.9%,-2.1%
3-准入选观察池,002651,利君股份,10.19,0.66,12.1/23.6,底位/绿柱缩短,11.8%,-1.6%
3-准入选观察池,603809,豪能股份,11.87,0.85,11.9/19.3,底位/绿柱缩短,11.6%,-0.8%
3-准入选观察池,000567,海德股份,5.51,0.71,25.0/31.9,底位/绿柱缩短,11.2%,-1.6%
3-准入选观察池,600909,华安证券,6.14,0.74,24.0/25.5,底位/绿柱缩短,10.3%,-0.6%
