类型,代码,名称,现价,量比,RSI6/14,KDJ/MACD,距60日线,今日涨跌
0-点火启动(即买即涨),600874,创业环保,5.44,0.83,23.1/32.6,底位/绿柱缩短,9.0%,1.5%
0-点火启动(即买即涨),601666,平煤股份,7.62,1.34,24.9/29.7,金叉/绿柱缩短,7.2%,6.6%
0-点火启动(即买即涨),603801,志邦家居,5.62,0.86,23.5/19.9,金叉/绿柱缩短,39.4%,3.5%
0-点火启动(即买即涨),002116,中国海诚,6.86,0.92,24.4/18.8,底位/绿柱缩短,34.8%,1.5%
0-点火启动(即买即涨),603105,芯能科技,6.97,1.13,20.0/26.3,金叉/金叉,34.2%,2.4%
0-点火启动(即买即涨),600126,杭钢股份,6.19,1.12,21.4/30.8,底位/绿柱缩短,33.6%,1.0%
0-点火启动(即买即涨),603586,金麒麟,12.69,0.67,22.1/19.3,金叉/绿柱缩短,33.2%,2.4%
0-点火启动(即买即涨),002686,亿利达,5.2,0.96,11.6/21.0,金叉/绿柱缩短,32.5%,1.0%
0-点火启动(即买即涨),000537,中绿电,7.48,0.99,18.9/19.7,金叉/绿柱缩短,31.5%,2.3%
0-点火启动(即买即涨),605136,丽人丽妆,7.29,1.04,18.7/20.1,底位/绿柱缩短,31.4%,2.2%
0-点火启动(即买即涨),605169,洪通燃气,9.06,0.93,14.5/16.9,底位/绿柱缩短,28.3%,1.9%
0-点火启动(即买即涨),603348,文灿股份,13.64,0.94,19.4/33.9,金叉/绿柱缩短,27.9%,1.9%
0-点火启动(即买即涨),603089,正裕工业,8.59,1.25,19.2/26.2,金叉/绿柱缩短,27.8%,2.9%
0-点火启动(即买即涨),000852,石化机械,5.02,1.05,11.1/27.4,底位/绿柱缩短,27.4%,1.2%
0-点火启动(即买即涨),600212,绿能慧充,5.28,1.11,9.9/28.1,底位/绿柱缩短,27.3%,1.5%
0-点火启动(即买即涨),600873,梅花生物,7.5,0.79,22.8/17.7,底位/绿柱缩短,27.2%,2.0%
0-点火启动(即买即涨),000819,岳阳兴长,11.71,0.79,18.3/25.8,金叉/绿柱缩短,27.0%,3.4%
0-点火启动(即买即涨),600480,凌云股份,8.4,0.81,19.2/12.4,底位/绿柱缩短,26.8%,1.1%
0-点火启动(即买即涨),600841,动力新科,6.25,1.19,17.9/33.3,金叉/绿柱缩短,26.7%,2.5%
0-点火启动(即买即涨),603909,建发合诚,8.74,1.08,25.0/28.1,底位/绿柱缩短,26.4%,2.5%
0-点火启动(即买即涨),000014,沙河股份,9.31,1.03,14.9/27.4,底位/绿柱缩短,25.6%,2.0%
0-点火启动(即买即涨),603086,先达股份,5.34,1.32,23.4/31.3,金叉/金叉,25.2%,2.9%
0-点火启动(即买即涨),002799,环球印务,6.2,0.92,21.4/15.9,底位/绿柱缩短,25.0%,2.5%
0-点火启动(即买即涨),600137,浪莎股份,16.74,0.76,24.8/30.6,底位/绿柱缩短,24.8%,3.1%
0-点火启动(即买即涨),603081,大丰实业,8.83,1.17,22.9/21.1,底位/绿柱缩短,24.6%,2.1%
0-点火启动(即买即涨),601116,三江购物,10.16,1.3,23.6/30.3,金叉/绿柱缩短,24.1%,2.9%
0-点火启动(即买即涨),000096,广聚能源,7.06,1.02,15.1/28.9,金叉/绿柱缩短,24.0%,1.3%
0-点火启动(即买即涨),002097,山河智能,7.36,1.1,21.3/25.3,金叉/绿柱缩短,24.0%,1.8%
0-点火启动(即买即涨),002363,隆基机械,6.12,1.01,18.7/28.4,金叉/绿柱缩短,24.0%,1.7%
0-点火启动(即买即涨),600138,中青旅,6.66,0.96,22.1/24.7,金叉/绿柱缩短,23.7%,2.0%
0-点火启动(即买即涨),603028,赛福天,6.68,1.4,18.7/29.1,金叉/绿柱缩短,23.5%,3.2%
0-点火启动(即买即涨),603326,我乐家居,6.34,1.21,22.5/28.6,底位/绿柱缩短,23.5%,2.9%
0-点火启动(即买即涨),603022,新通联,8.25,1.2,19.8/24.7,金叉/绿柱缩短,23.4%,3.2%
0-点火启动(即买即涨),603817,海峡环保,5.3,1.21,22.1/31.3,金叉/绿柱缩短,23.4%,3.7%
0-点火启动(即买即涨),605268,王力安防,9.18,1.72,20.2/33.2,金叉/金叉,23.2%,2.2%
0-点火启动(即买即涨),600128,苏豪弘业,7.8,1.06,19.1/26.8,金叉/绿柱缩短,23.1%,2.8%
0-点火启动(即买即涨),002322,理工能科,9.8,1.08,16.1/8.8,底位/绿柱缩短,23.1%,1.0%
0-点火启动(即买即涨),000626,远大控股,6.5,1.14,20.0/29.6,金叉/绿柱缩短,23.0%,2.7%
0-点火启动(即买即涨),600463,空港股份,7.92,1.02,22.8/23.5,金叉/绿柱缩短,23.0%,3.8%
0-点火启动(即买即涨),605033,美邦股份,17.11,1.11,20.4/28.2,金叉/绿柱缩短,23.0%,2.8%
0-点火启动(即买即涨),000731,四川美丰,5.22,0.93,19.4/29.7,底位/绿柱缩短,22.9%,2.2%
0-点火启动(即买即涨),603999,读者传媒,5.12,1.06,20.3/33.6,底位/绿柱缩短,22.8%,2.4%
0-点火启动(即买即涨),002238,天威视讯,5.51,0.92,13.7/30.2,底位/绿柱缩短,22.6%,2.0%
0-点火启动(即买即涨),600444,国机通用,13.17,0.88,16.0/12.1,底位/绿柱缩短,22.6%,1.5%
0-点火启动(即买即涨),603332,苏州龙杰,10.4,1.11,17.2/33.7,底位/绿柱缩短,22.6%,2.9%
0-点火启动(即买即涨),600313,农发种业,5.35,1.31,20.4/31.1,金叉/绿柱缩短,22.5%,2.1%
0-点火启动(即买即涨),605577,龙版传媒,9.01,1.38,25.0/27.5,金叉/绿柱缩短,22.5%,2.3%
0-点火启动(即买即涨),605050,福然德,9.55,1.03,17.4/30.5,金叉/绿柱缩短,22.0%,2.0%
0-点火启动(即买即涨),003037,三和管桩,5.58,1.08,18.3/19.2,底位/绿柱缩短,21.8%,1.8%
0-点火启动(即买即涨),002660,茂硕电源,6.65,1.13,19.0/31.0,金叉/绿柱缩短,21.7%,2.3%
0-点火启动(即买即涨),002037,保利联合,6.34,1.05,23.1/29.3,金叉/绿柱缩短,21.7%,1.6%
0-点火启动(即买即涨),603096,新经典,13.72,1.22,20.9/28.1,金叉/绿柱缩短,21.5%,2.5%
0-点火启动(即买即涨),600710,苏美达,9.75,1.44,19.0/23.3,金叉/绿柱缩短,21.4%,2.0%
0-点火启动(即买即涨),605001,威奥股份,5.58,0.92,20.5/32.4,金叉/绿柱缩短,21.3%,2.4%
0-点火启动(即买即涨),603227,雪峰科技,7.14,0.93,14.8/24.1,金叉/绿柱缩短,21.2%,1.7%
0-点火启动(即买即涨),603029,天鹅股份,14.51,1.0,22.9/33.2,底位/绿柱缩短,21.1%,3.2%
0-点火启动(即买即涨),603927,中科软,12.92,1.09,20.4/24.5,金叉/绿柱缩短,21.0%,1.6%
0-点火启动(即买即涨),002098,浔兴股份,6.58,1.17,24.0/34.6,金叉/金叉,21.0%,2.8%
0-点火启动(即买即涨),603709,中源家居,13.9,1.13,21.4/31.2,金叉/绿柱缩短,20.9%,2.7%
0-点火启动(即买即涨),002320,海峡股份,6.43,1.41,25.0/34.3,金叉/绿柱缩短,20.9%,2.6%
0-点火启动(即买即涨),603839,安正时尚,5.95,1.18,23.9/32.6,底位/绿柱缩短,20.7%,3.1%
0-点火启动(即买即涨),603041,美思德,10.52,0.88,16.5/21.2,金叉/绿柱缩短,20.2%,1.4%
0-点火启动(即买即涨),000888,峨眉山Ａ,9.08,1.08,22.4/32.0,金叉/金叉,20.1%,1.6%
0-点火启动(即买即涨),002105,信隆健康,5.06,0.9,23.9/22.9,底位/绿柱缩短,19.9%,2.4%
